Issue Type,Issue key,Issue id,Created,Summary,Assignee,Reporter,Priority,Status,Resolution,Updated,Due Date,Security Level,Component/s
Task,BESU-122,43387,20/Nov/19 1:01 PM,Update eth_getLogs so large calls do not cause Besu to stop running,,madelinemurray,Highest,Done,Done,12/Feb/20 11:14 PM,,,
Bug,BESU-183,44134,25/Jan/20 3:23 AM,Performance issues when Besu node starts searching events,,eum602,High,Done,Done,25/Mar/20 10:59 PM,,,
Bug,BESU-160,43739,17/Dec/19 3:45 AM,Error syncing with mainnet on Besu 1.3.7 node - MerkleTrieException,ratanraisur,faraggi,High,Done,Done,25/Mar/20 10:49 PM,,,
Bug,BESU-181,44108,23/Jan/20 8:05 AM,On-chain permissioning nodes can't peer when using a non-validator bootnode,,jframe,High,Done,Done,23/Mar/20 6:23 AM,,,
Task,BESU-131,43451,26/Nov/19 1:45 PM,Validate privateFrom before executing private transaction ,madelinemurray,madelinemurray,High,Done,Done,18/Mar/20 1:37 PM,,,besu-privacy
Bug,BESU-176,43965,14/Jan/20 4:49 PM,JRPC response to eth_getTransactionCount is different from other node implementations,,E.alcazar,High,Done,Done,12/Feb/20 11:12 PM,,,
Bug,BESU-157,43717,14/Dec/19 1:15 AM,stop processing private tx when enclave is down,antonydenyer,antonydenyer,High,Done,Done,28/Jan/20 9:13 AM,,,besu-privacy
Bug,BESU-138,43511,03/Dec/19 1:18 AM,Orion nodes do not work properly,lucassaldanha,eum602,High,Done,Done,27/Dec/19 8:06 AM,,,besu-privacy
Task,BESU-142,43522,03/Dec/19 1:27 PM,Segment private state storage,madelinemurray,madelinemurray,Medium,Done,Done,27/Mar/20 6:36 AM,,,besu-privacy
Improvement,BESU-80,43203,07/Nov/19 1:32 PM,Modify Besu to use TLS connect to Orion,,arash009,Medium,Done,Done,26/Mar/20 6:56 AM,,,
Improvement,BESU-119,43365,18/Nov/19 10:32 PM,Create recording of Prometheus service,MohamedAbdulaziz,MohamedAbdulaziz,Medium,Done,Done,25/Mar/20 11:32 PM,,,besu-docs
Epic,BESU-32,43137,06/Nov/19 8:28 AM,TLS for Besu endpoints,,arash009,Medium,Done,Done,25/Mar/20 11:01 PM,,,
Improvement,BESU-151,43621,06/Dec/19 6:49 PM,Add Quorum IBFT 1.0 to Besu architecture overview figure,,MohamedAbdulaziz,Medium,Done,Done,25/Mar/20 11:00 PM,,,besu-docs
Bug,BESU-203,44465,29/Feb/20 1:26 AM,Besu node not handling error when chain head arrives but fast sync fails,,eum602,Medium,Done,Done,25/Mar/20 10:59 PM,,,
Bug,BESU-69,43177,06/Nov/19 11:05 PM,Besu should error out if full sync is requested when fast sync is incomplete,oyincode,timbeiko,Medium,Done,Done,25/Mar/20 10:56 PM,,,
Bug,BESU-178,44007,17/Jan/20 7:11 AM,1.4.0-Beta1 Gorli testnet issue,,arash009,Medium,Done,Done,24/Mar/20 12:26 AM,,,
Improvement,BESU-197,44260,04/Feb/20 7:56 PM,Fix generation of legacy privacy group IDs ,madelinemurray,madelinemurray,Medium,Done,Done,23/Mar/20 11:02 PM,,,besu-privacy
Task,BESU-180,44028,20/Jan/20 1:09 PM,Check TLS performance of Besu on Caliper,,arash009,Medium,Done,Done,23/Mar/20 11:01 PM,,,
Improvement,BESU-106,43287,12/Nov/19 3:51 PM,Define behaviour of admin_addPeer regarding PeerTable,,arash009,Medium,Done,Done,23/Mar/20 10:59 PM,,,
Epic,BESU-84,43225,08/Nov/19 3:02 PM,Fork on an IBFT2.0 network,,arash009,Medium,Done,Done,23/Mar/20 1:19 PM,,,
Improvement,BESU-105,43286,12/Nov/19 3:28 PM,Modify Besu to accept TLS connections on graphql interface,,arash009,Medium,Done,Done,23/Mar/20 8:09 AM,,,
Improvement,BESU-104,43285,12/Nov/19 3:23 PM,Modify Besu to accept TLS connections on ws JSON RPC interface,,arash009,Medium,Done,Done,23/Mar/20 8:08 AM,,,
