Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
 Setup repo and import existing code,CE-1,14024,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,baohua,baohua,baohua,12/Jan/17 10:42 AM,12/Jan/17 6:08 PM,28/Oct/23 2:20 AM,12/Jan/17 6:08 PM,,,,,,,,,,0,,,,,,Import existing code and write guidelines to help contribute.,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxgwf:",,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enhance cello documentation,CE-2,14028,,Epic,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,hightall,baohua,baohua,12/Jan/17 2:47 PM,22/Jun/17 5:53 PM,28/Oct/23 2:20 AM,11/May/17 11:42 AM,,,,,,,,,,0,cello,,,,,"We need efficient documentation, e.g., guideline on how to contribute code to cello.",,baohua,saksham1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE-19,CE-26,,,,,,,"24/Mar/17 11:44 AM;saksham1115;test.png;https://jira.hyperledger.org/secure/attachment/10603/test.png",,,,,,,,,,,,,,,,,,,,ghx-label-4,,Documentation,To Do,,,,,,,"1|hzxgxb:",,,,,,General,,,,,,,,,,,,,,baohua,saksham1115,,,,,,,,"24/Mar/17 11:44 AM;saksham1115;Hi

I found some broken links in docs/index.md

 !test.png|thumbnail! 

The error I think is in the path given.;;;","24/Mar/17 11:55 AM;baohua;the index.md is usually copied from README.md as the rtd use that name.

thanks for the reporting, and would u like to make an update fix?

Thanks!;;;","24/Mar/17 11:56 AM;saksham1115;Yes please.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add contribution doc,CE-3,14029,14028,Sub-task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,baohua,baohua,12/Jan/17 2:48 PM,13/Jan/17 11:54 AM,28/Oct/23 2:20 AM,13/Jan/17 11:54 AM,,,,,,,,,,0,,,,,,Describe how to contribute to cello.,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxgxj:",,,,,,General,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support hyperledger fabric 1.0 ￼,CE-4,14034,,Epic,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,yahtoo,baohua,baohua,12/Jan/17 6:09 PM,13/Jul/17 7:43 PM,28/Oct/23 2:20 AM,13/Jul/17 7:43 PM,v0.7,,v0.7,,,,,,,0,Cello,,,,,"We already support 0.6 now.

Cello will support multiple blockchain types including fabric 1.0 and others.",,AshishkumarLakshmanan,baohua,hanwei,vishwass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CE-28,CE-61,CE-62,CE-63,CE-64,CE-69,CE-82,CE-83,,,,,,,,,,,,,,,,,,,,,ghx-label-6,,Support Hyperledger fabric 1.0,,,,,,,,"1|hzxgyv:",,,,,,Cello-Feature Design,,,,,,,,,,,,,,AshishkumarLakshmanan,baohua,hanwei,vishwass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rest server: update api definitions yml files.,CE-5,14053,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Low,Done,vishwass,hightall,hightall,13/Jan/17 4:04 PM,11/May/17 11:42 AM,28/Oct/23 2:20 AM,11/May/17 11:42 AM,,,,,,,,,,0,,,,,,update api definitions yaml files.,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxh27:",,,,,,General,,,,,,,,,,,,,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engine: support advanced scheduling,CE-6,14054,,Improvement,To Do,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Low,,,hightall,hightall,13/Jan/17 4:06 PM,28/Apr/21 4:10 AM,28/Oct/23 2:20 AM,,,,Future,,Cello-Core,,,,,0,Cello,,,,,support advanced scheduling,,baohua,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxgz3:",,,,,,Cello-Feature Design,,,,,,,,,,,,,,baohua,hightall,,,,,,,,"05/Feb/18 1:28 PM;baohua;Currently, when do fillup, cello randomly select supported network types.

May support more scheduling rules.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support kubernetes as the underly platform,CE-7,14056,,Epic,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Highest,Done,chawlanikhil24,baohua,baohua,13/Jan/17 5:58 PM,15/Sep/17 2:43 PM,28/Oct/23 2:20 AM,15/Sep/17 2:43 PM,,,v0.7,,,,,,,0,Cello,,,,,"Currently we support Docker and Swarm.

Need to support more like k8s.

This may require a decouple from underly platforms.",,Amanskywalker,AshishkumarLakshmanan,baohua,chawlanikhil24,Kaltrak,Luke_Chen,qiang0723,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-4194,FAB-3339,,,,,,,"03/Jul/17 12:16 PM;chawlanikhil24;Service-ex.png;https://jira.hyperledger.org/secure/attachment/11532/Service-ex.png","04/Jul/17 9:29 PM;chawlanikhil24;image-2017-07-04-17-59-47-346.png;https://jira.hyperledger.org/secure/attachment/11553/image-2017-07-04-17-59-47-346.png","28/Jun/17 8:45 PM;chawlanikhil24;logs-fabric-cli.png;https://jira.hyperledger.org/secure/attachment/11393/logs-fabric-cli.png",,,,,,,,,,,,,,,,,,ghx-label-2,,Let Cello support run fabric on top of k8s,,,,,,,,"1|hzxh2f:",,,,,,Cello-Feature Design,,,,,,,,,,,,,,Amanskywalker,AshishkumarLakshmanan,baohua,chawlanikhil24,Kaltrak,Luke_Chen,qiang0723,,,"11/Mar/17 5:55 PM;baohua;There is an internship proposal on letting cello use k8s as one of the underly infrastructure.

 

[https://wiki.hyperledger.org/internship/project_ideas]

Nikhil Chawla <chawlanikhil24@gmail.com>;;;","06/Jun/17 11:41 AM;baohua;I suppose it is not very difficult to simply run fabric containers on top of k8s, as k8s already has provided many useful features to container services, like the deployment, daemonset, controllers..

The basic idea is to write some driver agent in Cello, to handle the requests from dashboard, and convert them to the underly platform (e.g., swarm, k8s) API calls.

Besides, there will be states maintained in Cello, like the blockchain status.

Key challenges may include:
 # Choose appropriate overlay network in k8s, e.g., flannel or calico, or the merging canal. (MUST). Hence we should provide some best-practice k8s config.
 # Let fabric start up chaincode container through k8s's API, which requires the support from fabric code. (BETTER TO HAVE)
 # Storage support. (FUTURE);;;","08/Jun/17 9:56 PM;chawlanikhil24;The work to setup fabric on Kubernetes has begun. The initial step of the development is :

Convert Current docker-compose yml files to Kubernetes manifests.

This will allow to run Fabric on top of Kubernetes.;;;","25/Jun/17 2:25 PM;chawlanikhil24;Fabric 0.6 is ready to run on top of kubernetes. I've prepared that .yaml files which will deploy, 
 # hyperledger-membersrvc
 # hyperledger-cli
 # hyperledger-root
 # hyperledger-peer1
 # hyperledger-peer2
 # hyperledger-peer3

These files can be found at this  [link|https://github.com/chawlanikhil24/hyperledger-fabric-k8s] . 

Currently, I am using weave-net for kubernetes overlay network. Will consider flannel or canal later, once the K8s cluster is in a running state.

Now, we've a cli-pod which is linked with peers and root, so whatever API instructions Cello need to provide, Cli will be endpoint for those instructions.

Please do share some reviews and problems in deploying the cluster. ;;;","26/Jun/17 10:19 AM;baohua;Great, and please remember we will have fabric v1.0 in highest priority.

Look forward to seeing there's patchset to demo support fabric v0.6 atop k8s, certainly!

Thanks!;;;","26/Jun/17 2:38 PM;chawlanikhil24;Yupp, I am on the job of fabric-1.0 over kubernetes.

Also, making a patchset to demo support fabric-0.6 over K8s.;;;","26/Jun/17 8:59 PM;baohua;https://gerrit.hyperledger.org/r/#/c/11139/;;;","26/Jun/17 9:00 PM;baohua;Btw, feel free to create sub-task under this feature.

Then it would more clear to track the progress.

e.g., Add manifests for k8s.;;;","28/Jun/17 8:45 PM;chawlanikhil24;Finally I've created the CLUSTER of Fabric 1.0 , using the reference files in [yeasy|https://github.com/yeasy/docker-compose-files/tree/master/hyperledger/1.0] files.   

The K8s manifests can be found at this [link|https://github.com/chawlanikhil24/hyperledger-fabric-k8s] .

Few problems are still there, like, when I ran the commands mentioned in this [docs|https://github.com/yeasy/docker-compose-files/blob/master/hyperledger/1.0/docs/docker-compose-1peer-usage.md] , the following is generated in the cli-container. The image of the logs is attached in the comment.

!logs-fabric-cli.png!;;;","28/Jun/17 8:57 PM;baohua;Nice progress, and feel free to ref to the doc at https://github.com/hyperledger/fabric/blob/master/examples/e2e_cli/end-to-end.rst;;;","03/Jul/17 9:48 AM;chawlanikhil24;One more Issue I'd like to raise is the naming conventions used, for-example, {{.Hostname}}.{{.Domain}}” = orderer.example.com . 

Kubernetes, doesn't allow ""."" to be used in naming of DNS. In K8s, orderer.example.com has to be defined as orderer-example-com/orderer-service.

But, the official documention of Fabric, promotes the earlier convention. I suggest to make a generic documentation which is applicable for both swarm and K8s and other possible orchesterators like Mesos, DC/OS and so on.;;;","03/Jul/17 10:59 AM;baohua;In k8s, it supports service name like srv1.local.com in dns record?

see https://kubernetes.io/docs/concepts/services-networking/dns-pod-service/.;;;","03/Jul/17 12:17 PM;chawlanikhil24;To maintain a Pod-to-Pod communication, we need to create ""services"" in K8s for the ""deployments"". Deployments control the replication of ""Pods"" . The DNS records mentioned in the above mentioned link are the DNS records generated by K8s dynamically i.e. at runtime. So, we can't control those DNS records and hence can't maintain the pod-to-pod communication. 

To solve the above purpose, ""Services"" are defined by the user, which points to the ClusterIP. Now, check the same link which you mentioned in the previous comment and check the .yaml file of a service. You will notice that the service name is defined as: ""default-subdomain""

 

!Service-ex.png!;;;","03/Jul/17 12:32 PM;baohua;[~grapebaba]: any comments?;;;","28/Jul/17 3:38 PM;Luke_Chen;How about use namespaces(k8s) to maintain organizations(Fabric) ?  like we have members such as peers, cli and ca belong to org1.example.com, so we binding all the k8s resources(pods, service, PV .etc) of those members  into namespace “org1.example.com”, however, due to k8s doesn't support '.' and capitalized letter,  we  need to change  ""org1.example.com"" to ""org1-example-com""   ;;;","28/Jul/17 3:43 PM;baohua;[~Luke_Chen] technically, we can do that, however, can u elaborate the pros/cons for the proposal?

In fabric, org is more like some membership group sharing same trust base; while namespace in k8s is to isolate resources. I'm not sure if it's natural to map them together.;;;","28/Jul/17 3:58 PM;Luke_Chen;Sure, I am working on it;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migrate 0.6 code to support version as parameter,CE-8,14057,14034,Sub-task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,baohua,baohua,baohua,13/Jan/17 6:01 PM,26/Apr/17 2:39 PM,28/Oct/23 2:20 AM,26/Apr/17 2:39 PM,,,,,,,,,,0,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxh2n:",,,,,,Cello-Feature Design,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
support custom theme for dashboard,CE-9,14113,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Low,Done,hightall,hightall,hightall,17/Jan/17 10:43 AM,05/May/17 1:50 PM,28/Oct/23 2:20 AM,07/Apr/17 5:02 PM,,,,,,,,,,0,,,,,,"      From a long-term perspective, whether need to be changed to django framework.Because The django framework has achieved a lot of wheels. Flask as a lightweight lightweight framework, in the future, may need to achieve feature functions, but these functions may have been implemented in the django, the code may not be as efficient as Django.
      In openstack horizon, they use theme feature of Django for custom theme path. So I think we need some discussion about the web service framework.",,baohua,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxi87:",,,,,,,,,,,,,,,,,,,,baohua,hightall,,,,,,,,"05/May/17 1:50 PM;baohua;https://gerrit.hyperledger.org/r/#/c/8885/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change the watchdog implementation,CE-10,14114,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Lowest,Done,,hightall,hightall,17/Jan/17 10:50 AM,26/Apr/17 2:40 PM,28/Oct/23 2:20 AM,26/Apr/17 2:40 PM,,,,,,,,,,0,,,,,,"The current implementation of watchdog is a separate process of multi-threaded work, is not high-availability procedures. So I think may be it can be replaced by celery to increase the procedures for high availability.",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxi8f:",,,,,,,,,,,,,,,,,,,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
