Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Git Code Review),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Update fabric-sdk-java jobs confguration to pull images from nexus,FAB-10184,30354,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Duplicate,jtclark,rameshthoomu,rameshthoomu,17/May/18 11:41 PM,20/Jul/18 11:17 PM,28/Oct/23 3:03 AM,20/Jul/18 11:06 PM,,,,,,,,,,,,fabric-ci,,,,,0,CI_Release,,,,,,"Update fabric-sdk-java job configuration to pull images from nexus and run the e2e tests. This eliminates building docker images happens on every fabric-sdk-java patchsets.

https://jenkins.hyperledger.org/view/fabric/job/fabric-merge-end-2-end-x86_64/ publishes fabric & fabric-ca  ""stable"" tagged docker images to nexus and pull these images in the SDK jobs to eliminate building docker images again and again.

Note: After this change is merged in CI, SDK's no more clone/pull the fabric and fabric-ca repos and build images on the latest commit but it looks for the ""stable"" image which CI published from the fabric-merge-e2e-x86_64 job.",,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10068,,,,,,,,,"1|hzzazr:",,,,,,,,,,,,,,,,,,,,,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reorder nodes in configtx based on feedback from Jason,FAB-10185,30355,,Story,Closed,FAB,Fabric,software,denyeart,,,Low,Done,,sykesm,sykesm,18/May/18 12:00 AM,21/Jul/18 3:50 AM,28/Oct/23 3:03 AM,21/May/18 7:25 AM,,,,,,,,,,,,,,,,,0,,,,,,,,,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzazz:",,,,Unset,,,,,,Unset,,,,,,,,,,,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/protobufjs-6.11.4,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/tough-cookie-4.1.3,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/semver-6.3.1,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/grpc/grpc-js-1.8.17,dependabot/go_modules/high-throughput/application-go/google.golang.org/grpc-1.53.0,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/word-wrap-1.2.4,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/protobufjs-and-fabric-network-7.2.4,dependabot/go_modules/asset-transfer-basic/application-go/google.golang.org/grpc-1.53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"18/May/18 12:06 AM;sykesm;https://gerrit.hyperledger.org/r/21907 [FAB-10185] Reorder for logical consistency;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade Test: Verify ledger state after upgrading to 1.2 binaries,FAB-10187,30360,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,nagap,nagap,nagap,18/May/18 1:16 AM,30/Jul/19 10:52 AM,28/Oct/23 3:03 AM,30/Jul/19 10:52 AM,,,,,,,,,Future,,,fabric-quality,,,,,0,quality,SystemTestcase,,,,,"* In a stateful fabric network i.e fabric network with existing txs, take the backup of the ledger
 * upgrade the binary, mount the backed up volumes 
 * The ledger state should be recovered",,mastersingh24,nagap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10087,,,,,,,,,,,,,,,,,FAB-10631,,,,,,,,,,,,,,,,,,,,,,,,FAB-10085,,,,,,,,,"1|hzzb13:",,,,,,,,,,,,,,,,,,,,,mastersingh24,nagap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30/Jul/19 10:52 AM;mastersingh24;old ... done elsewhere;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Service Discovery Performance Traffic 1 chaincode,FAB-10190,30363,,Test Task,Closed,FAB,Fabric,software,denyeart,,,High,Done,dongming,scottz,scottz,18/May/18 1:53 AM,02/Dec/18 3:39 AM,28/Oct/23 3:03 AM,28/Jun/18 5:22 AM,,,,,,,,,v1.2.0,,,fabric-quality,,,,,0,SystemTestcase,,,,,,"Identify an existing pte traffic test, and write a new one for comparison using Serv Disc. We must configure the network and the pte client to use service discovery, and run the traffic mix in a network that ideally contains many peers and orgs and channels and chaincodes with different endorsement requirements. Details TBD.

This is dependent on:
 # SDK code completion (FAB-8830)
 # PTE client application development for Mutual TLS
 # PTE client application development for using service discovery during initialization and in designing traffic patterns
 # it MAY also require writing a plugin or two for SDK behavior for the service discovery and for handling failures for transaction proposals, but we are hoping to use the default behavior for now

 

Test Name: FAB-10190 performance benchmark: constant run with service discovery

Component: Performance

Description: Performance constant invokes with service discovery

    chaincode: each channel has one chaincode, sample_cc NodeJS, instantiated

    transactions: 4 threads, each thread sends 10,000 invokes to each channel as the following:
 # thread 1 sends to channel 1
 # thread 2 sends to channel 1
 # thread 3 sends to channel 2
 # thread 4 sends to channel 2

    Each invoke has payload size of 1kb-2kb.

Artifact Location: crypto-config

Network Topology: docker containers; 2 channels, 2 organizations, 2 peers per org, 4 kafka, 3 zookeepers, 3 orderers, 2 ca, with mutual TLS (clientauth)

Event:
          service: FilteredBlock
          listener: block

Client Driver: PTE

Output:
 # The benchmark passes if it completes without any error.
 # The benchmark fails if it encounters error or any event missing.

This testcase has the same setting as -FAB-7334- except the targetPeers in order to see the impact of using service discovery vs designated peers.",,dongming,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-8830,FAB-9925,FABN-274,,,,,,,,,,,,,,,,,,FAB-10191,FAB-10580,,,,,,,,,,,,,,,,,,,,,,,FAB-10083,,,Automated,,,,,,"1|hzzb1b:",,,,,,,,,,,,,,,,Pass,,System Test,,,dongming,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dependabot/go_modules/regression/publish/golang.org/x/sys-0.1.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/crypto-0.1.0,dependabot/go_modules/tools/operator/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/smoke/golang.org/x/net-0.7.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/golang.org/x/net-0.7.0,dependabot/go_modules/tools/gotools/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/smoke/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/smoke/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/publish/golang.org/x/text-0.3.8,dependabot/go_modules/regression/publish/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/smoke/golang.org/x/text-0.3.8,release-2.5,lindluni-patch-1,dependabot/go_modules/regression/publish/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/barebones/github.com/opencontainers/runc-1.1.5,release-2.4,dependabot/go_modules/regression/basicnetwork/k8s.io/client-go-0.20.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/text-0.3.8,dependabot/go_modules/regression/publish/golang.org/x/net-0.7.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/publish/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/net-0.7.0,dependabot/go_modules/regression/smoke/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/basicnetwork/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/golang.org/x/text-0.3.8,revert-342-mergify/bp/main/pr-340,dependabot/go_modules/regression/basicnetwork/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/publish/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/smoke/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/basicnetwork/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/net-0.7.0,dependabot/go_modules/tools/operator/golang.org/x/text-0.3.8,dependabot/go_modules/regression/basicnetwork/golang.org/x/text-0.3.8,dependabot/go_modules/regression/smoke/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/k8s.io/client-go-0.20.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/net-0.7.0,dependabot/go_modules/tools/operator/github.com/docker/docker-20.10.24incompatible,,,,,true,"27/Jun/18 10:42 PM;dongming;https://gerrit.hyperledger.org/r/#/c/23725/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Service Discovery Chaos test stopping peers,FAB-10191,30364,,Test Task,Closed,FAB,Fabric,software,denyeart,,,High,Done,dongming,scottz,scottz,18/May/18 1:55 AM,02/Dec/18 3:39 AM,28/Oct/23 3:03 AM,28/Jun/18 11:14 PM,,,,,,,,,v1.2.0,,,fabric-quality,,,,,0,SystemTestcase,,,,,,"In 10190, we plan to revise an existing pte traffic test, to reconfigure the network and the pte client to use service discovery, and run the traffic. In this test, we will rerun 10190 plus restart some peers. However to do so, we need to know what to expect of the SDK behavior (e.g. automatic reselection upon failure if a peer is down, or not), and write pte client application code (possibly a plugin) to make decisions based on the expected behavior (e.g. do we need to abandon and then resend a TX proposal to a different endorser set in certain conditions, if necessary, or, to retrigger the service-discovery-request upon certain conditions and then resubmit TX proposal). Once those things are defined and coded, then we can write a testcase based on proper expectations so we will be able to know whether it passes or fails.

Not sure if all this can get done in v1.2. Extensive testing like this may more likely be done in next release.

 

Test Name: FAB-10191 performance benchmark: service discovery chaos with stopping peers

Component: Performance (robustness)

Description: Performance constant invokes with service discovery chaos test

    chaincode: each channel has one chaincode, sample_cc NodeJS, instantiated

    transactions: 4 threads, each thread sends 1 invoke per 100ms for 1 hour to each channel as the following:
 # thread 1 sends to channel 1
 # thread 2 sends to channel 1
 # thread 3 sends to channel 2
 # thread 4 sends to channel 2

    Each invoke has payload size of 1kb-2kb.

Artifact Location: crypto-config

Network Topology: docker containers; 2 channels, 2 organizations, 2 peers per org, 4 kafka, 3 zookeepers, 3 orderers, 2 ca, with mutual TLS (clientauth)

Event:
          service: FilteredBlock
          listener: block

Client Driver: PTE

Simultaneously, executing test_chaos.sh to restart all orderers, peers, kafkas, and zookeepers one at a time

Output:
 # The benchmark passes if it completes the transactions resume after containers restored.

 ",,dongming,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10190,,,FAB-11447,FAB-13007,,,,,,,,,,,,,,,,,,,,,,,FAB-10084,,,Automated,,,,,,"1|hzzb1j:",,,,,,,,,,,,,,,,Pass,,System Test,,,dongming,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dependabot/go_modules/regression/publish/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/k8s.io/client-go-0.20.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/smoke/golang.org/x/net-0.7.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/golang.org/x/net-0.7.0,dependabot/go_modules/tools/gotools/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/smoke/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/smoke/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/publish/golang.org/x/text-0.3.8,dependabot/go_modules/regression/publish/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/smoke/golang.org/x/text-0.3.8,release-2.5,lindluni-patch-1,dependabot/go_modules/regression/publish/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/barebones/github.com/opencontainers/runc-1.1.5,release-2.4,dependabot/go_modules/regression/basicnetwork/k8s.io/client-go-0.20.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/text-0.3.8,dependabot/go_modules/regression/publish/golang.org/x/net-0.7.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/publish/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/net-0.7.0,dependabot/go_modules/regression/smoke/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/basicnetwork/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/golang.org/x/text-0.3.8,revert-342-mergify/bp/main/pr-340,dependabot/go_modules/regression/basicnetwork/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/publish/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/smoke/k8s.io/client-go-0.20.0,dependabot/go_modules/tools/operator/golang.org/x/text-0.3.8,dependabot/go_modules/tools/operator/golang.org/x/net-0.7.0,dependabot/go_modules/regression/basicnetwork/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/basicnetwork/golang.org/x/text-0.3.8,dependabot/go_modules/regression/smoke/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/barebones/golang.org/x/crypto-0.1.0,dependabot/go_modules/tools/operator/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/k8s.io/client-go-0.20.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/net-0.7.0,dependabot/go_modules/tools/operator/github.com/docker/docker-20.10.24incompatible,,,,,true,"28/Jun/18 5:22 AM;dongming;https://gerrit.hyperledger.org/r/#/c/23757/;;;","29/Aug/18 12:55 AM;scottz;This v1.2 version of this testcase will be enhanced and replaced in v1.3 by FAB-11447;;;","28/Nov/18 8:16 AM;scottz;Intentions for 11447 have evolved to be more complicated, so we will keep 10191 and put it into the daily test suite.

We should enhance it a bit, though, to verify individual transactions on ALL peers. We will use another task for that minor change, but use these existing 10191 test scripts.;;;",,,,,,,,,,,,,,,,,,,,,,,,
Run goAST scan on fabric-ca build for all applicable go packages,FAB-10192,30365,30313,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,rameshthoomu,rameshthoomu,rameshthoomu,18/May/18 2:16 AM,20/Jul/18 11:16 PM,28/Oct/23 3:03 AM,19/May/18 3:54 AM,,,,,,,,,,,,fabric-ci,,,,,0,CI_Adhoc_Req,,,,,,Run goAST scan on fabric-ca build for all applicable go packages. Refer # https://jenkins.hyperledger.org/me/my-views/view/All/job/fabric-goast-weekly-x86_64/,,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb1r:",,,,,,,,,,,,,,,,,,,,,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19/May/18 12:59 AM;rameshthoomu;https://gerrit.hyperledger.org/r/#/c/21955/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Make current identity and membership docs available in 1.1 branch,FAB-10194,30367,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,joe-alewine,joe-alewine,joe-alewine,18/May/18 3:28 AM,21/Jul/18 3:50 AM,28/Oct/23 3:03 AM,18/May/18 9:25 PM,v1.1.0,,,,,,,,v1.1.0,,,fabric-docs,,,,,0,,,,,,,The final edits for identity.md and membership.md are available in master but not in the (current release-1.1 branch). Need to make these available in the v1.1 docs.,,joe-alewine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzb27:",,,,Unset,,,,,,Unset,,,,,,,,,,,joe-alewine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,release-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"18/May/18 6:26 AM;joe-alewine;https://gerrit.hyperledger.org/r/c/21921/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Remove ESCC and VSCC out of systemchaincode.html for v1.2,FAB-10198,30372,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,joe-alewine,pandrejko,pandrejko,18/May/18 6:44 AM,21/Jul/18 3:50 AM,28/Oct/23 3:03 AM,22/May/18 3:55 AM,v1.1.0,,,,,,,,v1.2.0,,,fabric-docs,,,,,0,,,,,,,"Remove ESCC and VSCC out of systemchaincode.html for v1.2

 see FAB-9855",,kchristidis,pandrejko,SjirNijssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzb33:",,,,Unset,,,,,,Unset,,,,,,,,,,,kchristidis,pandrejko,SjirNijssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"22/May/18 3:56 AM;kchristidis;https://gerrit.hyperledger.org/r/c/22073/;;;","22/May/18 3:56 AM;kchristidis;Please set the JIRA fields accordingly.;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade Test: Verify and assert network components' expected behavior after upgrading to 1.2,FAB-10199,30373,,Task,Closed,FAB,Fabric,software,denyeart,,,High,Done,nagap,nagap,nagap,18/May/18 7:08 AM,20/Jul/18 11:16 PM,28/Oct/23 3:03 AM,20/Jun/18 6:31 AM,,,,,,,,,v1.2.0,,,fabric-quality,,,,,0,Quality,SystemTestcase,,,,,"* Upgrade orderer (singular, hard upgrade with outage, since only one orderer) but not peers, send transactions successfully from 1.1 to 1.2
 * Upgrade orderer (singular) and all peers, send transactions successfully from 1.1 to 1.2
 * Upgrade orderer (singular) but not peers, send channel config updates to enable new capabilities, and peers should panic  from 1.1 to 1.2
 * Upgrade orderer (singular) and all peers, send channel config updates to enable new capabilities, and send transactions successfully from 1.1 to 1.2
 ** {color:#cccccc}Instructions for executing these test cases should be pretty much similar to those outlined in -FAB-7184- to FAB-7187.{color}

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10087,,,,,,,,,,,,,,,,,FAB-10732,,,,,"20/Jun/18 6:50 AM;nagap;byfn-upgrade-output.log;https://jira.hyperledger.org/secure/attachment/15124/byfn-upgrade-output.log",,,,,,,,,,,,,,,,,,,FAB-10085,,,,,,,,,"1|hzzb3b:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update compiled proto files,FAB-10200,30374,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,C0rWin,C0rWin,C0rWin,18/May/18 7:12 AM,20/Jul/18 11:16 PM,28/Oct/23 3:03 AM,18/May/18 11:35 AM,,,,,,,,,v1.2.0,,,fabric-common,,,,,0,,,,,,,"Need to update proto files, which got diverged.",,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb3j:",,,,,,,,,,,,,,,,,,,,,C0rWin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"18/May/18 7:13 AM;C0rWin;https://gerrit.hyperledger.org/r/21951;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
