Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Git Code Review),Outward issue link (Git Code Review),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
PTE adds n burst modes to input json,FAB-11444,32485,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,dongming,dongming,dongming,02/Aug/18 2:20 AM,02/Aug/18 10:14 PM,28/Oct/23 3:03 AM,02/Aug/18 10:14 PM,,,,,,,,,,,,,,,0,,,,,,Add n burst modes to input json,,dongming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-2247,,,No,,Unset,No,,,"1|hzzl7b:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dongming,,,,,,,,,,,,,,,,,,,,,,,,,,dependabot/go_modules/regression/publish/golang.org/x/sys-0.1.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/crypto-0.1.0,dependabot/go_modules/tools/operator/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/smoke/golang.org/x/net-0.7.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/golang.org/x/net-0.7.0,dependabot/go_modules/tools/gotools/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/smoke/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/smoke/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/publish/golang.org/x/text-0.3.8,dependabot/go_modules/regression/publish/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/smoke/golang.org/x/text-0.3.8,release-2.5,dependabot/go_modules/regression/barebones/github.com/opencontainers/runc-1.1.5,release-2.4,lindluni-patch-1,dependabot/go_modules/regression/publish/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/basicnetwork/k8s.io/client-go-0.20.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/text-0.3.8,dependabot/go_modules/regression/basicnetwork/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/publish/golang.org/x/net-0.7.0,dependabot/go_modules/regression/publish/golang.org/x/crypto-0.1.0,dependabot/go_modules/tools/operator/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/smoke/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/basicnetwork/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/golang.org/x/text-0.3.8,revert-342-mergify/bp/main/pr-340,dependabot/go_modules/regression/publish/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/smoke/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/golang.org/x/text-0.3.8,dependabot/go_modules/tools/operator/golang.org/x/net-0.7.0,dependabot/go_modules/regression/basicnetwork/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/basicnetwork/golang.org/x/text-0.3.8,dependabot/go_modules/regression/smoke/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/k8s.io/client-go-0.20.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/net-0.7.0,dependabot/go_modules/tools/operator/github.com/docker/docker-20.10.24incompatible,,,,,,true,"02/Aug/18 2:51 AM;dongming;https://gerrit.hyperledger.org/r/#/c/25029/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaincode image should be built at time of install,FAB-11445,32489,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,mastersingh24,mastersingh24,mastersingh24,02/Aug/18 4:03 AM,23/Jan/20 7:32 AM,28/Oct/23 3:03 AM,23/Jan/20 7:32 AM,v1.2.0,,,,,Future,,,,,fabric-peer,,,,1,hygiene,stale-item,,,,"In the current chaincode install and instantiate model, installing chaincode simply means the peer writes the chaincode packages bytes to the filesystem.   When chaincode is instantiated, the chaincode image is built and then an instance of the container is created.  (This flow is actually leftover from the old Fabric model where the chaincode bytes were deployed as an actual deploy transaction).

This flow is problematic for several reasons:
 # The user is left with the false impression that the chaincode package will compile and deploy.  This is not the case (especially for Go where the code is actually compiled as part of the image build process).
 # It can take time to actually build the image and depending on the host system this leads to unnecessary timeouts.
 # There are times when the peer host does not have Docker, the correct CC builder or base OS images installed.  It would be better to know this up front

 

The proposal here is to actual build the chaincode image at install time.

 

 ",,mastersingh24,sykesm,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzl87:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,sykesm,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/Aug/18 4:30 AM;mastersingh24;I'll start the work on this for v1.3 but will target future for now;;;","23/Jan/20 7:32 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaos, ServDisc, SideDB: Restart All Nodes Sequentially, Verify Tx On All Peers",FAB-11447,32493,,Test Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Duplicate,dongming,scottz,scottz,02/Aug/18 7:31 AM,09/Jan/20 2:29 AM,28/Oct/23 3:03 AM,31/Jul/19 5:56 AM,v1.4.0,,,,,,,,,,fabric-quality,,,,0,help-wanted,,,,,"Enhance testcase to leverage a new PTE capability to verify/query one or more transactions from the ledger of ALL peers. This will guarantee that gossip distributed transactions quickly throughout the orgs peers.

As a first step, we should modify the ""service-discovery restarts"" testcase (FAB-10191), to also verify (some) invokes on ALL peers. This capability was added to PTE using [https://gerrit.hyperledger.org/r/#/c/24723/] with FAB-10903. The current plan is to add 10191 to the daily test suite.

Second: this testcase could start with 10191 and add SideDB traffic too (and add more restarts). This sidedb traffic of course will use named collections (per FABN-843) for the invokes and the service discovery requests. Refer also to FAB-10130 ""sidedb restarts"" which is being deprecated because of this 11447 and 12833/12834/12835.

NOTICE: Due to time constraints, v1.3 is not including sidedb reconciliations, which means we cannot test this until v1.4.  The systest team will simply reexecute FAB-10191 in v1.3 and v1.4 as was done in v1.2. Since 10191 and 12833/12834/12835 tests cover the same basic scenarios in v1.4, then this testcase 11447 is more of a ""would be nice"" rather than a ""required"" testcase. Since this is a complicated solution test enveloping several things in combination - it could be deferred until time allows.",,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-12834,FAB-12835,,,,FAB-10191,FAB-16072,,FAB-10903,FAB-10130,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-10084,,,No,,Unset,No,,,"1|hzzl8n:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,System Test,,(Please add usage information),scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement PutStateUInt64 helper in Go chaincode,FAB-11448,32504,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,EvansChang,angelo.decaro,angelo.decaro,02/Aug/18 11:12 PM,27/Feb/19 4:33 AM,28/Oct/23 3:03 AM,27/Feb/19 4:33 AM,,,,,,v2.1.0,,,,,,,,,0,,,,,,"Implement a utility function in the Go chaincode so that there is a common way to serialize an uint64. Operations and chaincode both need to understand how an uint64 is represented in byte format.

Method signature:

PutStateUInt64(key string, value uint64) error

 

See the epic design doc for more information.",,angelo.decaro,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzla7:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),angelo.decaro,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29/Aug/18 6:56 PM;grapebaba;[~angelo.decaro] can we take this task?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement GetStateUInt64 helper in Go chaincode,FAB-11449,32505,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,EvansChang,angelo.decaro,angelo.decaro,02/Aug/18 11:13 PM,27/Feb/19 4:33 AM,28/Oct/23 3:03 AM,27/Feb/19 4:33 AM,,,,,,v2.1.0,,,,,,,,,0,,,,,,"Implement a utility function in the Go chaincode so that there is a common way to serialize an uint64. Operations and chaincode both need to understand how an uint64 is represented in byte format.

Method signature:

GetStateUInt64(key string) uint64, error

 

See the epic design doc for more information.",,angelo.decaro,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzlaf:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),angelo.decaro,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29/Aug/18 6:56 PM;grapebaba;[~angelo.decaro] can we take this task?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide config option for CouchDB _global_changes,FAB-11450,32506,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,chris.elder,chris.elder,chris.elder,03/Aug/18 12:02 AM,06/Aug/18 10:21 PM,28/Oct/23 3:03 AM,06/Aug/18 10:21 PM,,,,,,,,,,,fabric-ledger,,,,0,,,,,,"The system database _global_changes is an optional database in CouchDB.  This can introduce overhead for tracking changes in CouchDB.

This is a follow-on task for FAB-8722  in fabric-baseimage.

 ",,chris.elder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwtof:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),chris.elder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove need for Peer access to Docker Socket,FAB-11453,32510,,Documentation,Closed,FAB,Fabric,software,denyeart,,,Medium,Invalid,sykesm,rhegde,rhegde,03/Aug/18 1:08 AM,20/Sep/19 7:49 PM,28/Oct/23 3:03 AM,20/Sep/19 7:49 PM,,,,,,,,,,,,,,,0,,,,,,"*Reduce Peer privileges on Docker Socket.*

The Fabric Peers currently need access to the docker socket to enable them to create peer chaincode containers.

Full access to the docker socket will allow a peer to create a container with inappropriate privileges that would allow for the escalation of privileges on the host by at least the following two ways
 # Creating a bind mounted storage with inappropriate mount point
 # Creating a host privileged container

 The FABRIC chaincode does not need either of these privileges.

 To conform to best security practices we would like to restrict the peer to carry out only actions it actually  needs.

 One suggested way would be as we are using  Docker Swarm as our co-ordination engine to send the container creation request to the Docker UCP using the UCP client bundle.  However the initial attempt at this has failed as it appears that the UCP does not always return the same return codes as Docker Socket.  For example containers/create where the  image does not exist returns error code 404 with the docker socket and 500 with UCP.

 

We would like to hear if this is been tried by Fabric Community and have documentation around it for others.",,mastersingh24,rhegde,rsherwood,silliman,simsc,YashGanthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzlb3:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,rhegde,rsherwood,silliman,simsc,YashGanthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/Feb/19 5:48 AM;Clayton Sims;This one came up while talking to CLS.   Matt can you give us your view?;;;","09/Feb/19 12:40 AM;sykesm;The peers currently need access to the docker daemon - that does not mean we need access to /var/run/docker.sock. In existing code, the peer can be configured to use TLS connections to docker in the vm section of core.yaml by pointing to a network based endpoint instead of the bind mounted socket.

Use of Docker swarm is not something the open source project supports and is not on the roadmap. We are, however, considering a pluggable launch mechanism that would allow custom build and launch implementations in custom deployments of the peer without having to rebuild the peer.;;;","20/Sep/19 7:49 PM;mastersingh24;Matt Sykes comment covers this;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not correct variable for debug messages in gossip,FAB-11454,32512,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,nnao,nnao,nnao,03/Aug/18 1:37 AM,04/Aug/18 12:20 AM,28/Oct/23 3:03 AM,04/Aug/18 12:20 AM,v1.2.0,,,,,v1.3.0,,,,,fabric-gossip,,,,0,,,,,,"I got an error message(%!v(MISSING)) as below.
{code}
2018-08-01 23:51:15.404 UTC [gossip/comm] readFromStream -> DEBU 19b9 rpc error: code = Canceled desc = context canceled Got error, aborting: %!v(MISSING)
{code}
 
the source code of this message is as follow. at gossip/comm/conn.go L352 
{code}
errChan <- err
conn.logger.Debugf(""Got error, aborting: %v"", err)
return
{code}
 
A channel of ""errChan"" receives a value from ""err"" and a value of ""err"" becomes empty.
Maybe ""err"" should be replaced with ""errChan"".
",,nnao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzz4qf:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),nnao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/Aug/18 2:43 AM;nnao;https://gerrit.hyperledger.org/r/#/c/25063/;;;","04/Aug/18 12:18 AM;nnao;I misunderstand. 
It has been fixed in the latest code. Sorry. 

{code}
2018-08-03 15:15:03.711 UTC [gossip/comm] readFromStream -> DEBU 3db Got error, aborting: rpc error: code = Canceled desc = context canceled
{code};;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peer side changes to support pagination,FAB-11455,32516,33216,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,Senthil1,Senthil1,Senthil1,03/Aug/18 4:11 AM,14/Sep/18 1:24 PM,28/Oct/23 3:03 AM,09/Sep/18 6:50 AM,,,,,,v1.3.0,,,,,,,,,0,,,,,,"We need to make necessary changes in the core/chaincode/handler.go for pagination. Currently, the handler.go in the peer calls the ledger to execute queries (range query, rich query). On an execution of a query, the ledger returns an iterator. Using the iterator, peer constructs the query response with records and send the response to chaincode.

When a pagination is enabled (i.e., when the query metadata is passed with pageSize and a bookmark for range/rich queries), the peer would call the new pagination enabled range/rich query APIs at ledger which would return a response metadata in addition to an iterator. The response metadata would contain the next bookmark and the number of records fetched for the query. Peer retrieves all fetched records from ledger, constructs a query response including both records and response metadata. The chaincode can pass on the bookmark in the response metadata to the application/sdk.",,Senthil1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzlbb:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Senthil1,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"03/Aug/18 5:20 AM;Senthil1;https://gerrit.hyperledger.org/r/c/25071/5;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add marbles and marbles private chaincode support to ATD/PTE,FAB-11456,32523,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,suryalnvs,suryalnvs,suryalnvs,03/Aug/18 6:24 AM,31/Aug/18 12:07 AM,28/Oct/23 3:03 AM,31/Aug/18 12:07 AM,,,,,,,,,,,,,,,0,,,,,,Add marbles chaincode to ATD/PTE to run marbles chaincode related tests and marbles private chaincode to run sidedb tests,,suryalnvs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-10054,,,No,,Unset,No,,,"1|hzzld3:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),suryalnvs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27/Aug/18 11:57 PM;suryalnvs;https://gerrit.hyperledger.org/r/#/c/25901/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
