Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Update documentation of ConsensusType in protos/orderer/configuration.proto,FAB-13704,36813,35195,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,tock,tock,tock,16/Jan/19 4:48 PM,03/Mar/19 9:58 PM,28/Oct/23 3:04 AM,26/Jan/19 12:08 AM,,,,,,,,,,,,,,,0,,,,,"Update documentation of ConsensusType in protos/orderer/configuration.proto
 * spell out permitted type strings: ""solo"" / ""kafka"" / ""etcdraft""
 * update migration_state for which messages are permitted on system / standard channels
 * update migration_context for what is required on each migration_state ",,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0071j:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),tock,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refine Bundle.ValidateNew by identifying a system vs. standard channel,FAB-13705,36814,35195,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,tock,tock,tock,16/Jan/19 5:24 PM,03/Mar/19 9:58 PM,28/Oct/23 3:04 AM,30/Jan/19 6:32 PM,,,,,,,,,,,,,,,0,,,,,"* In {{common/multichannel/Bundle.ValidateNew()}} it is possible to identify the system channel using
              {{_, isSys := b.ConsortiumsConfig()}}
 this can be used to refine {{validateMigrationStep()}} such that it deals more accurately with the migration-state transitions on the system vs. standard channels.

 
 * In addition, prevent user from adding {{ConsortiumsConfig()}} to standard channels. This will protect {{multichannel.Registrar}} from blowing up on next initialization.
 ** Looking at the code in {{multichannel.Registrar}}, we see that  `{{_, ok := ledgerResources.ConsortiumsConfig()}}` is used to identify the system channel. If two system channels are identified, the code panics. 
 ** Now, in {{Bundle.ValidateNew()}}, currently there is no mechanism to prevent a user (orderer admin) from adding a {{ConsortiumsConfig()}} to a standard channel.
 ** If a user does that,  {{multichannel.Registrar}} will blow up in the next initialization.",,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0071r:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),tock,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"17/Jan/19 9:13 PM;tock;https://gerrit.hyperledger.org/r/#/c/28780/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use mocks for ledger in validator tests,FAB-13706,36818,36665,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,ales,ales,ales,16/Jan/19 7:20 PM,18/Jan/19 11:50 AM,28/Oct/23 3:04 AM,18/Jan/19 11:50 AM,,,,,,,,,,,,,,,0,,,,,,,ales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0072f:",,,,Unset,Unset,v2.0,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ales,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FabToken CLI,FAB-13707,36819,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,angelo.decaro,angelo.decaro,angelo.decaro,16/Jan/19 7:21 PM,20/Feb/19 11:56 PM,28/Oct/23 3:04 AM,20/Feb/19 11:56 PM,,,,,,,,,,,,,,,0,,,,,,,angelo.decaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11153,,,No,,Unset,No,,,"1|i0072n:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),angelo.decaro,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"16/Jan/19 7:22 PM;angelo.decaro;https://gerrit.hyperledger.org/r/#/c/28654/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create ChaincodeData lookup function for validation,FAB-13708,36820,36665,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,ales,ales,ales,16/Jan/19 7:29 PM,23/Jan/19 10:31 PM,28/Oct/23 3:04 AM,18/Jan/19 11:51 AM,,,,,,,,,,,,,,,0,,,,,,,ales,,,,,,,,,,,,,,,,,,,,,,,,FAB-13523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0072v:",,,,Unset,Unset,v2.0,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ales,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idemix chaincode fails,FAB-13709,36827,,Bug,Closed,FAB,Fabric,software,denyeart,,,Highest,Done,mastersingh24,rickr,rickr,17/Jan/19 12:01 AM,17/Jan/19 2:12 AM,28/Oct/23 3:04 AM,17/Jan/19 2:12 AM,v2.0.0,,,,,v2.0.0,,,,fabric-peer,,,,,0,,,,,"This is working in Fabric 1.4 but is broken when running against Fabric 2.0 (master) 

Full Peer log  https://ctrlv.it/id/163487/1292207097

The problem seems to be the go chaincode missing an import:

https://github.com/hyperledger/fabric-sdk-java/blob/3495c0d29c00c6eee30ccbd9328451949c68c47b/src/test/fixture/sdkintegration/gocc/sampleIdemix/src/github.com/example_cc/example_cc.go#L25

Transaction id 788dabaed00807bc8d5994c428f7dbe7aa33e360d969e533a296c745ad339fb2

{code}
2019-01-16 14:46:46.814 UTC [chaincode] Deregister -> DEBU ff3 deregister handler: idemix_example_go:1
2019-01-16 14:46:46.814 UTC [endorser] callChaincode -> INFO ff4 [foo][788dabae] Exit chaincode: name:""lscc""  (1149ms)
2019-01-16 14:46:46.815 UTC [endorser] SimulateProposal -> ERRO ff5 [foo][788dabae] failed to invoke chaincode name:""lscc"" , error: Failed to generate platform-specific docker build: Error returned from build: 1 ""chaincode/input/src/github.com/example_cc/example_cc.go:25:2: cannot find package ""github.com/hyperledger/fabric/core/chaincode/shim/ext/cid"" in any of:
	/usr/local/go/src/github.com/hyperledger/fabric/core/chaincode/shim/ext/cid (from $GOROOT)
	/chaincode/input/src/github.com/hyperledger/fabric/core/chaincode/shim/ext/cid (from $GOPATH)
	/go/src/github.com/hyperledger/fabric/core/chaincode/shim/ext/cid
""
error starting container
error starting container
2019-01-16 14:46:46.815 UTC [endorser] SimulateProposal -> DEBU ff6 [foo][788dabae] Exit
{code}
",,mastersingh24,rickr,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00747:",,,,Unset,Unset,,,,Run JSDK integration test .. test that fails End2endIdemixIT  (End2endIT must be run first ,,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,rickr,sykesm,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"17/Jan/19 12:59 AM;sykesm;Has this example ever worked? I expect it wouldn't have as the external deps (ext) should have been vendored.;;;","17/Jan/19 1:05 AM;sykesm;Talked to Saad and this worked with 1.4. Looks like the recent changes to ccenv may have dropped some stuff that used to be included.

Old packaging for the shim did the following:
{code}
$(BUILD_DIR)/goshim.tar.bz2: $(GOSHIM_DEPS)
	@echo ""Creating $@""
	@tar -jhc -C $(GOPATH)/src $(patsubst $(GOPATH)/src/%,%,$(GOSHIM_DEPS)) > $@
{code}

New process does this:
{code}
	&& $GOPATH/bin/govendor add +external github.com/hyperledger/fabric/core/chaincode/shim \
{code};;;","17/Jan/19 1:16 AM;mastersingh24;https://gerrit.hyperledger.org/r/28762;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
PTE gen_cfgInputs.sh number of channel option support,FAB-13710,36829,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,dongming,dongming,dongming,17/Jan/19 1:16 AM,19/Jan/19 4:35 AM,28/Oct/23 3:04 AM,19/Jan/19 4:35 AM,,,,,,,,,,fabric-quality,,,,,0,,,,,"Add option of number of channels in gen_cfgInputs.sh to to allow multiple channels execution.

This task will add two options to gen_cfgInputs.sh:

--nchan number of channels
              (Default: 0. Note: cannot be used with -n nor --name)
--chanprefix channel name prefix, used with option --nchan
              (Default: defaultchannel)

 

 ",,dongming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-2247,,,No,,Unset,No,,,"1|i0074n:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dongming,,,,,,,,,,,dependabot/go_modules/regression/publish/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/k8s.io/client-go-0.20.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/smoke/golang.org/x/net-0.7.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/golang.org/x/net-0.7.0,dependabot/go_modules/tools/gotools/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/smoke/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/smoke/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/publish/golang.org/x/text-0.3.8,dependabot/go_modules/regression/publish/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/smoke/golang.org/x/text-0.3.8,release-2.5,dependabot/go_modules/regression/barebones/github.com/opencontainers/runc-1.1.5,release-2.4,lindluni-patch-1,dependabot/go_modules/regression/publish/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/basicnetwork/k8s.io/client-go-0.20.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/text-0.3.8,dependabot/go_modules/regression/basicnetwork/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/publish/golang.org/x/net-0.7.0,dependabot/go_modules/regression/publish/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/smoke/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/basicnetwork/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/golang.org/x/text-0.3.8,revert-342-mergify/bp/main/pr-340,dependabot/go_modules/regression/publish/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/smoke/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/golang.org/x/net-0.7.0,dependabot/go_modules/tools/operator/golang.org/x/text-0.3.8,dependabot/go_modules/regression/basicnetwork/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/smoke/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/text-0.3.8,dependabot/go_modules/regression/barebones/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/k8s.io/client-go-0.20.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/net-0.7.0,dependabot/go_modules/tools/operator/github.com/docker/docker-20.10.24incompatible,,true,"17/Jan/19 5:48 AM;dongming;https://gerrit.hyperledger.org/r/#/c/28764/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDK-java tests are failing consistently with java.lang Assertion error in end-2-end tests,FAB-13711,36830,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Invalid: Test Error,rickr,sambhavdutt,sambhavdutt,17/Jan/19 1:36 AM,19/Mar/19 8:13 PM,28/Oct/23 3:04 AM,21/Jan/19 11:28 PM,v2.0.0,,,,,,,,,fabric-sdk-java,,,,,0,ci-failure,,,,"There are consistent fails in the fabric.sdk integration test suite due to java.lang.Assertion error. This is currently failing  fabric-end-2-end daily job.

*Intermittent:* Yes
 *Branch:* master
 *Platform:* x86_64
*Error Snippet:*

{code:java}
23:31:00 Failed tests: 
23:31:00   End2endAndBackAgainNodeIT.setup:36->End2endAndBackAgainIT.runFabricTest:260->End2endAndBackAgainIT.reconstructChannel:738 Peer peer0.org1.example.com is missing instantiated chaincode name: example_cc_node, path:null, version: 1
23:31:00   End2endIdemixIT.setup:56->End2endIT.runFabricTest:211->End2endIT.runChannel:527 Not enough endorsers for instantiate :0endorser failed with error starting container: error starting container: Failed to generate platform-specific docker build: Error returned from build: 1 ""chaincode/input/src/github.com/example_cc/example_cc.go:25:2: cannot find package ""github.com/hyperledger/fabric/core/chaincode/shim/ext/cid"" in any of:
23:31:00 	/usr/local/go/src/github.com/hyperledger/fabric/core/chaincode/shim/ext/cid (from $GOROOT)
23:31:00 	/chaincode/input/src/github.com/hyperledger/fabric/core/chaincode/shim/ext/cid (from $GOPATH)
23:31:00 	/go/src/github.com/hyperledger/fabric/core/chaincode/shim/ext/cid
23:31:00 "". Was verified:false
23:31:00   End2endNodeIT.setup:51->End2endIT.runFabricTest:211->End2endIT.runChannel:527 Not enough endorsers for instantiate :0endorser failed with timeout expired while starting chaincode example_cc_node:1 for transaction. Was verified:false
23:31:00 
23:31:00 Tests run: 47, Failures: 3, Errors: 0, Skipped: 0
{code}

*Build Logs:*

https://logs.hyperledger.org/production/vex-yul-hyp-jenkins-3/fabric-merge-end-2-end-x86_64/4121/

https://jenkins.hyperledger.org/view/Daily/job/fabric-end-2-end-daily-master-x86_64/3/consoleFull",,rickr,sambhavdutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,b909a18532e0ed205d421f0ed67f2c9dac2c1f8e,Unset,No,,,"1|i0074v:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),rickr,sambhavdutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/Jan/19 11:28 PM;rickr;seems to be working now that we've gone to 2.0 

https://gerrit.hyperledger.org/r/#/c/28665/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
update contribution guide to add CR aging policy,FAB-13712,36831,,Documentation,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,ChristopherFerris,ChristopherFerris,17/Jan/19 2:00 AM,16/Mar/19 4:05 AM,28/Oct/23 3:04 AM,16/Mar/19 4:05 AM,v1.4.0,,,,,,,,,fabric-docs,,,,,0,,,,,,,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwrrp:c",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ChristopherFerris,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"17/Jan/19 2:02 AM;ChristopherFerris;https://gerrit.hyperledger.org/r/28763;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add ability to use the new chaincode lifecyle in integration tests,FAB-13713,36836,,Test Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,latitiah,latitiah,latitiah,17/Jan/19 4:07 AM,06/Apr/19 1:21 AM,28/Oct/23 3:04 AM,03/Apr/19 8:51 AM,,,,,,,,,,,,,,,0,,,,,"A user should be able to use the new chaincode lifecycle to set up a fabric network in the integration test suite.

Note: For this release, both lifecycles need to be supported. The new lifecycle will eventually become THE lifecycle.",,latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-11237,,,No,,Unset,No,,,"1|i0075z:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Integration Test,,(Please add usage information),latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
