Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Git Code Review),Outward issue link (Git Code Review),Outward issue link (Git Code Review),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Join channel POST should be directed at /channels url, not channels/my-channel",FAB-18051,45565,40568,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,tock,tock,tock,07/Jul/20 7:33 PM,14/Jul/20 1:59 AM,28/Oct/23 3:09 AM,14/Jul/20 1:59 AM,,,,,,,v2.x,,,,,fabric-orderer,,,,0,,,,,,"Currently the `Join channel` command does `POST /channels/my-channel`. Since the channel is created, the right thing to do is to `POST /channels`, while extracting the channel name from the block channel header.",,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01ed7:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),tock,,,,,,,,,,,,,,,,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove ACL policies for non-existent functions from configtx.yaml,FAB-18052,45568,,Task,Backlog,FAB,Fabric,software,denyeart,,,Medium,,tatsu-sato,tatsu-sato,tatsu-sato,08/Jul/20 2:12 AM,08/Jul/20 4:54 AM,28/Oct/23 3:09 AM,,v2.1.1,,,,,,,,,,,fabric-peer,,,,0,,,,,,"*SimulateConfigTreeUpdate()* and *GetConfigTree()* in *cscc* have been removed after FAB-15348 was merged.
 On the other hand, ACL policies to manage the removed functions still remains in some configtx.yaml.
 I can find the unnecessary policies in the following files:
 - sampleconfig/configtx.yaml
 - orderer/common/server/testdata/configtx.yaml
 - orderer/common/onboarding/testdata/configtx.yaml

They may confuse Fabric users, admins and contributors.

So, the unnecessary policies should be removed.",,tatsu-sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01edv:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),tatsu-sato,,,,,,,,,,,,,,,,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make default values for ACL policies in source code and in sample/test configurations consistent,FAB-18053,45569,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,tatsu-sato,tatsu-sato,tatsu-sato,08/Jul/20 2:14 AM,19/Jul/20 1:18 PM,28/Oct/23 3:09 AM,19/Jul/20 1:18 PM,v2.1.1,,,,,,,,,,,fabric-peer,,,,0,,,,,,"Some values for ACL polices in a sample configuration (sampleconfig/configtx.yaml), some test configuration and documents are different from default values in source code (core/aclmgmt/defaultaclprovider.go).

For example, the following gaps from source code can be found in sampleconfig/configtx.yaml:
 - _lifecycle/QueryChaincodeDefinition: /Channel/Application/Readers
 - _lifecycle/QueryChaincodeDefinitions: /Channel/Application/Readers
 - peer/ChaincodeToChaincode: /Channel/Application/Readers

In core/aclmgmt/defaultaclprovider.go, they are set to /Channel/Application/Writers as the default values.

Although the values in the sample configuration may be just examples,  Fabric users may expect them as default values as there is no documentation on ACL default values.

To prevent misunderstandings, if there is no specific intention, I think that it is desirable to have consistent default values.",,tatsu-sato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01ee3:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),tatsu-sato,,,,,,,,,,,,,,,,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orderer.Addresses gets set even if user doesn't set it,FAB-18054,45570,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,caod,denyeart,denyeart,08/Jul/20 4:23 AM,08/Jul/20 8:23 PM,28/Oct/23 3:09 AM,08/Jul/20 8:23 PM,,,,,,,v2.2.0,v2.3.0,,,,fabric-tools,,,,0,ipm,,,,,"Channel config Orderer.Addresses is deprecated, we advise users to set OrdererEndpoints at the org level instead. Users are starting to do this, however the Orderer.Addresses still gets populated even if they don't set it.

It looks like a default value in configtxgen is to blame:
{code:java}
[common.tools.configtxgen.localconfig] completeInitialization -> INFO 002 Orderer.Addresses unset, setting to [127.0.0.1:7050]{code}
[https://github.com/hyperledger/fabric/blob/master/internal/configtxgen/genesisconfig/config.go#L305-L307]

 ",,caod,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-15662,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00n2e:8znqzzzzzo2",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),caod,denyeart,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.2,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"08/Jul/20 4:40 AM;caod;[https://github.com/hyperledger/fabric/pull/1550];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investigate whether peer chaincode actually needs to parse the config for orderer addresses or tls certs,FAB-18055,45572,,Bug,Unverified,FAB,Fabric,software,denyeart,,,Medium,,,caod,caod,08/Jul/20 6:23 AM,12/Oct/20 11:18 PM,28/Oct/23 3:09 AM,,,,,,,,v3.0.0,,,,,,,,,0,ipm,,,,,The peer chaincode and peer lifecycle chaincode commands call out to [https://github.com/hyperledger/fabric/blob/4fdb366bb399bc5329cdeb3ccd9d793ae888332e/internal/peer/common/common.go#L175] if the orderer address is not passed. This function is currently broken as it only parses the config for the top level orderer addresses instead of checking org level when they exist and the capability is set. The same logic applies for tls certs as well. Given that this code path is likely broken anyways it may be better to enforce the cli properly passes these values instead of trying to parse them from the config and just remove these functions.,,caod,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-18056,,,,,,,FAB-15662,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-15574,,,No,,Unset,No,,,"1|i00n2e:8zs02",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),caod,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/Jul/20 11:20 AM;denyeart;I agree the automatic pulling of orderer endpoints is overkill and can likely be removed from peer CLI instead of investing in the org OrdererEndpoint support, but we may want to wait for v3.0 to make such breaking changes. Note that the automatic pulling of Orderer.Addresses does indeed work in peer CLI as of July 2020.;;;","08/Jul/20 11:35 AM;caod;If these code paths are actually used then maybe we should look into just fixing the logic to fetch the org level orderer endpoints for now and then entirely remove it as part of 3.0.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peer CLI auto detects orderer address using deprecated Orderer.Addresses config,FAB-18056,45573,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Duplicate,,denyeart,denyeart,08/Jul/20 9:19 AM,08/Jul/20 11:17 AM,28/Oct/23 3:09 AM,08/Jul/20 11:17 AM,,,,,,,,,,,,,,,,0,,,,,,"Channel config Orderer.Addresses is deprecated, we advise users to set OrdererEndpoints at the org level instead.

However it looks like peer CLI still tries to get Orderer.Addresses only from config block, if an orderer address flag is not passed:

[https://github.com/hyperledger/fabric/blob/master/internal/peer/common/common.go#L226]

If we want to keep the auto-orderer address detection functionality in peer CLI, we should add a check for org level OrdererEndpoints.",,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-18055,,,,,,FAB-15662,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01eej:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allow the orderer to Update a join to a channel, or ""ReJoin""",FAB-18057,45578,,Story,Backlog,FAB,Fabric,software,denyeart,,,Lowest,,,tock,tock,10/Jul/20 12:52 AM,17/Apr/21 4:11 AM,28/Oct/23 3:09 AM,,,,,,,,v2.x,,,,,fabric-orderer,,,,0,,,,,,"An orderer node that is a member or a follower of a channel may go down for a long time. When it wake up, in most cases it will be able to pull the blocks its missed and catch up with the cluster. However, in rare cases, the config of the channel  may have changed so much such that the restored node no longer has the ability to pull.

The simple, but possibly costly solution, is to remove the channel and join from scratch with a recent config block.

However, a better solution is to supply the orderer with a more recent config block to the channel in order to allow it to catch-up. This would probably have to be implemented with another REST verb like a {{`PUT`}} (vs `POST` for Join) to perform an {{`Update`}}.  That is:

PUT /channels/channel-name 

with body carrying a join-block.

If the join-block.number is smaller or equal than the ledger height, the request is rejected.

If it is higher, it is placed in the joinblock file repo, the current chain or follower are stopped, and a new follower is started.

 ",,jyellick,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-17712,,,No,,Unset,No,,,"1|i01eff:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),jyellick,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17/Apr/21 4:11 AM;jyellick;This can be worked around be unjoining and rejoining, and it unlikely for real production setups.  Lowering priority.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update references to Go SDK when it is GA,FAB-18058,45579,,Documentation,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,pandrejko,pandrejko,pandrejko,10/Jul/20 4:16 AM,26/Feb/21 8:12 AM,28/Oct/23 3:09 AM,26/Feb/21 8:12 AM,,,,,,,,,,,,fabric-docs,,,,0,,,,,,"* contributing.rst
 * devenv.rst
 * fabric-sdks.rst
 * getting-started.rst
 * glossary.rst",,pandrejko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwrhl:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pandrejko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/Feb/21 4:31 AM;pandrejko;CR: https://github.com/hyperledger/fabric/pull/2377;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add a testEnv to  confighistory mgr_test.go,FAB-18059,45584,44915,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,wenjian,wenjian,11/Jul/20 12:30 AM,05/Oct/20 11:40 PM,28/Oct/23 3:09 AM,05/Oct/20 11:40 PM,,,,,,,,,,,,,,,,0,,,,,,There is repetitive test setup code in multiple tests. Add a testEnv to avoid repetitions.,,manish-sethi,wenjian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01efv:",,,,Unset,Unset,v2.x,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),manish-sethi,wenjian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05/Oct/20 11:40 PM;manish-sethi;Already fixed as part of some other PR;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccenv:latest removal from docker hub caused problem for chaincode instantiation,FAB-18060,45585,,Bug,Closed,FAB,Fabric,software,denyeart,,,High,Invalid: Works as Expected,,tongliofcary,tongliofcary,11/Jul/20 12:31 AM,14/Jul/20 6:50 PM,28/Oct/23 3:09 AM,14/Jul/20 6:50 PM,v1.4.1,v1.4.2,v1.4.3,v1.4.4,v1.4.5,v1.4.6,,,,,,fabric-peer,,,,0,build-system,,,,,"for fabric 1.4.1 and 1.4.2, when chaincode gets instantiated, peer will ask for container image hyperledger/fabric-ccenv:latest, when this image gets removed from docker hub, chaincode instantiation will fail because there is no such image available for pulling.",,btl5037,tongliofcary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01eg3:",,,,Unset,Unset,,"setup fabric 1.4.1 or 1.4.2 in a fresh environment without hyperledger fabric container images.
install any chaincode,
instantiate the chaincode, then the error will show.
```
or: could not assemble transaction, err proposal response was not successful, error code 500, msg error starting container: error starting container: Failed to generate platform-specific docker build: Failed to pull hyperledger/fabric-ccenv:latest: API error (404): manifest for hyperledger/fabric-ccenv:latest not found: manifest unknown: manifest unknown

```",,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,tongliofcary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14/Jul/20 4:41 AM;btl5037;We announced this deprecation last year some time. Users should be setting the `chaincode.builder` and `chaincode.<language>.runtime` settings in core.yaml or via environment variables.;;;","14/Jul/20 6:47 PM;tongliofcary;[~btl5037]Thanks for your comment. I will close this then.;;;","14/Jul/20 6:50 PM;tongliofcary;This behavior was due to a design choice and there is a work around of this problem.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
