Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Re-apply couchdb and node.js version that was reverted in baseimage 0.4.10 (FAB-10927),FABB-1,31819,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,chris.elder,denyeart,denyeart,12/Jul/18 11:25 PM,28/Mar/19 12:03 AM,28/Oct/23 2:20 AM,26/Mar/19 7:33 PM,,0.4.11,,0,,,,,,,,"Couchdb improvements and node.js version updates had to be backed out of baseimage in order to ship 0.4.10 with v1.2.0, as we could not release with the untested updates (there was not time to test the improvements prior to shipping v1.2.0). The Couchdb improvements and node.js version updates need to be re-applied to baseimage now that v1.2.0 is behind us. And then Fabric and Fabric-CA master will need to switch over to the new baseimage so that we can get some testing on the updates prior to v1.3.0.",,denyeart,rhegde,,,,,,,,,,,,,,FABB-139,,,,FABB-139,,,,,,FABB-95,,,,,,,,,,,,,,,,,Unset,,,,,,No,,,No,,,"1|hzwtm7:",,,,Unset,,,,,Unset,,,,,,,,,,,denyeart,rhegde,,,,,,,,,,,,,,,,,,"12/Jul/18 11:28 PM;denyeart;Actually, node js version should be updated to the latest LTS version, that is, what was:

NODE_VER=8.11.2

should now be:

NODE_VER=8.11.3;;;",,,,,,,,,,,
update fabric-baseimage ci scripts,FABB-2,16059,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,rameshthoomu,rameshthoomu,rameshthoomu,28/Apr/17 12:46 AM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,30/Apr/17 1:05 AM,,,,0,build-system,,,,,,,"update fabric-baseimage ci scripts.. modify CI script to pick new make targets..

{code:java}
""make docker-local"" and ""make docker"" 
to
""make docker"" and ""make install""
{code}
",,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxriv:",,,,,,,,,,,,,,,,,,,,rameshthoomu,,,,,,,,,,,,,,,,,,,"30/Apr/17 1:05 AM;rameshthoomu;patch has been submitted and merged;;;",,,,,,,,,,,
Update Golang version to 1.7.5,FABB-3,15857,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,binhn,binhn,binhn,20/Apr/17 6:14 AM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,02/May/17 2:30 AM,,,,0,,,,,,,,"Golang 1.7.5 contains fixes that we need:

""go1.7.5 (released 2017/01/26) includes fixes to the compiler, runtime, and the crypto/x509 and time packages.""

For more info https://github.com/golang/go/issues?q=milestone%3AGo1.7.5",,binhn,bsmita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxqj3:",,,,,,,,,,,,,,,,,,,,binhn,bsmita,,,,,,,,,,,,,,,,,,"02/May/17 2:29 AM;binhn;Closed by https://gerrit.hyperledger.org/r/#/c/8267/;;;",,,,,,,,,,,
Update Golang compiler in fabric-baseimage for the z Systems platform to 1.7.5,FABB-4,15386,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,High,Done,harrijk,harrijk,harrijk,17/Mar/17 11:22 PM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,14/Apr/17 1:32 AM,,,,0,Golang,HSBN,,,,,,"The Golang compiler used by the z Systems platform needs to be upgraded from 1.7.3 to 1.7.5 to take advantage of Eliptic Curve digital signature acceleration.  The improvements take advantage of the z Systems' ""Single Instruction Multiple Data"" (SIMD) capability to accelerate the Eliptic Curve digital signature acceleration.",,ChristopherFerris,harrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxo7r:",,,,,,,,,,,,,,,,,,,,ChristopherFerris,harrijk,,,,,,,,,,,,,,,,,,"14/Apr/17 1:32 AM;ChristopherFerris;https://gerrit.hyperledger.org/r/#/c/7309/;;;",,,,,,,,,,,
Prepare for 0.4.10 baseimage,FABB-5,31161,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,denyeart,denyeart,denyeart,19/Jun/18 12:46 PM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,28/Jun/18 6:55 PM,,,,0,,,,,,,, Prepare for 0.4.10 baseimage.,,denyeart,,,,,,,,,,,,,,,,,FABB-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzf93:",,,,,,,,,,,,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilize fabric-baseimage version 0.3.1 for Hyperledger Fabric CA Docker image builds	,FABB-6,16551,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,High,Done,harrijk,harrijk,harrijk,11/May/17 1:22 AM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,28/May/17 1:35 PM,,,,0,build-system,HSBN,quality,,,,,"The most recent version, 0.3.1, of the fabric-baseimage was created and pushed to Docker Hub. 

The following issues were addressed with version 0.3.1:
 # f76795c -FAB-1185- Remove vagrant
 # ea0eef5 -FAB-3265- Update Golang version to v1.7.5 for ppc64le
 # b80e228 -FAB-3340- fix broken link to contributing doc
 # 96771a3 -FAB-3265- Update Golang version to 1.7.5
 # 72eed8c Adding baseimage support for ARM architecture
 # f31feba -FAB-2813- Upgrade Golang for z Systems (Optimized Eliptic Curve Cryptography)

This task will update the base image version within *Makefile* of the Hyperledger Fabric CA code base. The result of which is Hyperledger Fabric CA Docker image builds will take advantage of the improved fabric-baseimage.",,dinotone,harrijk,harsha544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxuiv:",,,,,,,,,,,,,,,,,,,,dinotone,harrijk,harsha544,,,,,,,,,,,,,,,,,"28/May/17 1:35 PM;harrijk;This change was abandoned due to a duplicate CR containing the same patch.;;;",,,,,,,,,,,
Prepare for 0.4.11 baseimage,FABB-7,31477,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,denyeart,denyeart,denyeart,29/Jun/18 1:28 PM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,29/Jun/18 2:05 PM,,,,0,,,,,,,,Prepare for 0.4.11 baseimage,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzgn3:",,,,,,,,,,,,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,"29/Jun/18 1:30 PM;denyeart;https://gerrit.hyperledger.org/r/#/c/23859/;;;",,,,,,,,,,,
Update s390x/debian:xenial to s390x/debian:stretch in fabric-baseimage,FABB-8,31429,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,High,Done,rameshthoomu,rameshthoomu,rameshthoomu,28/Jun/18 5:09 AM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,28/Jun/18 6:56 PM,,,,0,,,,,,,,"Update s390x/debian:xenial to s390x/debian:stretch in fabric-baseimage

 

All unable to build docker images on s390x platform.
{code:java}
Jessie is now in LTS stage and that only supports x86 and ARM.
 You'll need to upgrade to Debian stretch to continue to get updates for s390x.


{code}
 ",,rameshthoomu,,,,,,,,,,,,,,,FAB-10883,,,,,,,FABG-255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyksf:",,,,,,,,,,,,,,,,,,,,rameshthoomu,,,,,,,,,,,,,,,,,,,"28/Jun/18 5:17 AM;rameshthoomu;https://gerrit.hyperledger.org/r/#/c/23753/;;;","28/Jun/18 6:29 AM;rameshthoomu;Change has been pushed ""rameshthoomu/fabric-baseimage, rameshthoomu/fabric-baseos, rameshthoomu/fabric-basejvm"" with 0.4.9 from s390x

Try pulling these images to build testenv image on s390x. Test in progress here https://jenkins.hyperledger.org/sandbox/job/fabric-end-2-end-daily-master-s390x/;;;",,,,,,,,,,
[CI] - Publish hyperledger baseimage to nexus docker repo,FABB-9,22815,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Low,Done,rameshthoomu,rameshthoomu,rameshthoomu,24/Oct/17 11:22 PM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,26/Oct/17 11:49 PM,,,,0,fabric-ci,,,,,,,Publish hyperledger baseimage to nexus docker repository so that we can pull baseimage in Jenkins from nexus docker repository.,,rameshthoomu,,,,,,3600,3600,,0%,3600,3600,,,,,,,,,,,FABC-570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyknr:",,,,,,,,,,,,,,,,,,,,rameshthoomu,,,,,,,,,,,,,,,,,,,"26/Oct/17 11:49 PM;rameshthoomu;patch has been submitted and merged. fabric-baseimage CI jobs are now ready to publish images to nexus docker repository;;;",,,,,,,,,,,
Create 0.4.10 baseimage,FABB-10,31476,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,denyeart,denyeart,denyeart,29/Jun/18 1:24 PM,18/Jul/18 11:53 PM,28/Oct/23 2:20 AM,29/Jun/18 2:04 PM,,,,0,,,,,,,,Create 0.4.10 baseimage so that fabric v1.2.0 can use debian stretch on s390x.,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwtlr:",,,,,,,,,,,,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,"29/Jun/18 1:27 PM;denyeart;https://gerrit.hyperledger.org/r/#/c/23857/;;;",,,,,,,,,,,
