Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment
Programming model - Go chaincode contract APIs,FABCAG-1,42402,Epic,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,High,Done,awjh-ibm,heatherp,heatherp,19/Sep/19 12:58 AM,10/Feb/20 10:08 PM,28/Oct/23 2:26 AM,10/Feb/20 10:08 PM,,1,cc-triaged,,,"An introduction to the new programming model is here, including a detailed tutorial: [https://hyperledger-fabric.readthedocs.io/en/release-1.4/whatsnew.html?highlight=new%20programming%20model#improved-programming-model-for-developing-applications] 

This epic adds the new programming model that was introduced for both node and java chaincode, to Go chaincode.  All concepts should be consistent with node and java, subject to differences in language idioms.

A well-documented working prototype exists here: https://github.com/awjh-ibm/fabric-go-developer-api

This is to be discussed at a Fabric Maintainers call - TBC",,heatherp,MHBauer,muralisr,silliman,,,,,,,,,,,"14/Nov/19 1:26 AM;awjh-ibm;contract-programming-model-go-update.pdf;https://jira.hyperledger.org/secure/attachment/17927/contract-programming-model-go-update.pdf",,,,(Please add high level design or a link to the design),Required,Unset,Required,ghx-label-1,,Programming model - Go chaincode,To Do,No,,Required,No,,,"1|i010d7:",,,,No,Required,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,MHBauer,muralisr,silliman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabric contract API Go repo should contain community information,FABCAG-2,43503,Documentation,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Done,awjh-ibm,awjh-ibm,awjh-ibm,02/Dec/19 8:09 PM,02/Dec/19 8:54 PM,28/Oct/23 2:26 AM,02/Dec/19 8:54 PM,,0,,,,Github reccomended community standards suggest that projects have a contributor guide and code of conduct. Currently the repo lacks this.,,awjh-ibm,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i015k3:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),awjh-ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changelog script does not match new JIRA format,FABCAG-3,43504,Bug,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Done,awjh-ibm,awjh-ibm,awjh-ibm,02/Dec/19 8:18 PM,02/Dec/19 10:14 PM,28/Oct/23 2:26 AM,02/Dec/19 10:14 PM,,0,,,,Formerly the Jira structure was that all fabric repos were components of fabric. Now that they are each their own project on Jira the changelog script should pick up on commits related to FABCAG rather than FAB. Since this repo is new and we have no commits tagged FAB we do not need to plan for handling the previous format,,awjh-ibm,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i015kb:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),awjh-ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release build will fail on beta release due to lack of changelog,FABCAG-4,43681,Bug,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,High,Done,awjh-ibm,awjh-ibm,awjh-ibm,12/Dec/19 7:45 PM,12/Dec/19 8:25 PM,28/Oct/23 2:26 AM,12/Dec/19 8:25 PM,,0,,,,The release build checks whether the changelog contains the tagged version. For beta releases we will not fill out the changelog and therefore those releases will fail.,,awjh-ibm,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01663:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),awjh-ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabric contract API go should contain tutorials ,FABCAG-5,43737,Task,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,High,Done,awjh-ibm,awjh-ibm,awjh-ibm,16/Dec/19 11:31 PM,10/Jan/20 6:22 PM,28/Oct/23 2:26 AM,10/Jan/20 6:22 PM,,0,cc-triaged,,,A tutorial describing how to use the contract API components should be created to ease the process of a new user writing a smart contract,,awjh-ibm,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FABCAG-1,,,No,,Unset,No,,,"1|i016hf:",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),awjh-ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledger API,FABCAG-6,43833,Epic,Backlog,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,High,,awjh-ibm,heatherp,heatherp,08/Jan/20 3:04 AM,10/Jan/20 12:55 AM,28/Oct/23 2:26 AM,,,0,cc-triaged,,,"This epic connects all child work items related to delivering a new ledger-api in the fabric-chaincode-node repository.

A short introduction is included below, with a much more detailed design explanation is included in the ""Design"" section.

We're currently thinking this will exist as a separate package, i.e. in addition to fabric-shim and fabric-contract-api and therefore will live in a top level directory alongside those other apis. However the placement of this work may be reviewed as we iteratively deliver new functionality and test importing it, from a user's perspective.

Introduction

-------------

A typical sequence is for an application to connect to a peer (the 'gateway' into the network channel), and obtain a reference to a smart contract. The Network-shared transaction logic in the Smart Contract is then be invoked by name, and with optional data arguments and return values. The data arguments can include transient data if needed. The logic in the Smart Contract will typical reference and update the shared transaction data, subject of course to exactly how the code is written.

The 'Ledger' is, therefore, a primary abstraction in a blockchain system, including in Hyperledger Fabric; this abstraction allows the concepts of states, world state, collections, transactions, blocks etc. to be tied together and formalised.",,heatherp,,,,,,,,,,,,FABCJ-3,FABCN-358,,,,,"A very good high-level design summary is here:

https://github.com/hyperledger/fabric-rfcs/pull/16
",Reviewed,Unset,Unset,ghx-label-7,,Go ledger-api,To Do,No,,Unset,No,,,"1|i01703:",,,,No,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As a smart contract developer, I want to use a ledger object",FABCAG-7,43903,Story,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Invalid,awjh-ibm,heatherp,heatherp,10/Jan/20 12:45 AM,18/Nov/20 7:40 PM,28/Oct/23 2:26 AM,18/Nov/20 7:40 PM,,0,cc-triaged,,,"*As a* smart contract developer
 *I want* to get a ledger object
 *So that* I can get default and private collections objects from it

Conceptual APIs to include:
|get-collection-default (worldstate)|
|get-collection-private-name|
|bootstrap-ledger-api|

Definition of Done includes:
 * interfaces and implementation
 * full unit tests
 * corresponding api docs for the apis added
 * integration tests satisfying this user outcome",,heatherp,lesleyannj,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FABCAG-6,,,No,,Unset,No,,,"1|hzwrnx:c",,,,Unset,Unset,31st-7th Feb 2020,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,lesleyannj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Nov/20 7:40 PM;lesleyannj;Closing as no current work taking place.  Please reopen if considered valid when work is started.;;;",,
"As a smart contract developer, I want to use a state object",FABCAG-8,43904,Story,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Invalid,,heatherp,heatherp,10/Jan/20 12:45 AM,18/Nov/20 7:41 PM,28/Oct/23 2:26 AM,18/Nov/20 7:41 PM,,0,cc-triaged,,,"*As a* smart contract developer
 *I want* to get a state object
 *So that* I can get keys and values

Conceptual APIs to include:
|create-composite-key|
|split-composite-key|
|get-value|
|get-key|
|get-key-level-endorsement|
|set-key-level-endorsement|
|get-private-data-hash|
|get-policy (precise meaning TBD)|
|get-historic-states-for-key|

Definition of Done includes:
 * interfaces and implementation
 * full unit tests
 * corresponding api docs for the apis added
 * integration tests satisfying this user outcome",,heatherp,lesleyannj,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FABCAG-6,,,No,,Unset,No,,,"1|hzwrnx:6",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,lesleyannj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Nov/20 7:41 PM;lesleyannj;Closing as no current work taking place.  Please reopen if considered valid when work is started.;;;",,
"As a smart contract developer, I want to use a collection object",FABCAG-9,43905,Story,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Invalid,,heatherp,heatherp,10/Jan/20 12:46 AM,18/Nov/20 7:40 PM,28/Oct/23 2:26 AM,18/Nov/20 7:40 PM,,0,cc-triaged,,,"*As a* smart contract developer
 *I want* to get a collection object
 *So that* I can access the state from it

Conceptual APIs to include:
  
|get-state|
|put-state|
|delete-state|
|current-ledger-state-query|

Definition of Done includes:
 * interfaces and implementation
 * full unit tests
 * corresponding api docs for the apis added
 * integration tests satisfying this user outcome",,heatherp,lesleyannj,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FABCAG-6,,,No,,Unset,No,,,"1|hzwrnx:9",,,,Unset,Unset,31st-7th Feb 2020,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,lesleyannj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Nov/20 7:40 PM;lesleyannj;Closing as no current work taking place.  Please reopen if considered valid when work is started.;;;",,
"As a smart contract developer, I want to use a state iterator",FABCAG-10,43907,Story,Closed,FABCAG,Fabric Contract API Go,software,awjh-ibm,,,Medium,Invalid,,heatherp,heatherp,10/Jan/20 12:47 AM,18/Nov/20 7:41 PM,28/Oct/23 2:26 AM,18/Nov/20 7:41 PM,,0,cc-triaged,,,"*As a* smart contract developer
 *I want* to use a state iterator
 *So that* I can iterate through states

Conceptual APIs to include:
  
|next-state|
|has-next-state|
|close-iterable|

Definition of Done includes:
 * interfaces and implementation
 * full unit tests
 * corresponding api docs for the apis added
 * integration tests satisfying this user outcome",,heatherp,lesleyannj,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FABCAG-6,,,No,,Unset,No,,,"1|hzwrnx:2",,,,Unset,Unset,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),heatherp,lesleyannj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/Nov/20 7:41 PM;lesleyannj;Closing as no current work taking place.  Please reopen if considered valid when work is started.;;;",,
