Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Implement EVM filtering for logs and events,FABCE-1,35885,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Duplicate,,swetharepakula,swetharepakula,05/Dec/18 10:49 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,05/Feb/19 4:55 AM,,0,,,"Allow users to be able to using filtering rpc apis to track logs and events that are generated from their evm smart contracts.

 

These are not logs from the evmcc itself",,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://docs.google.com/document/d/1iiaPbT5Aeh8gqOHLBV1kprB-eN5E7Z4kD8CPeuqhB4Y/edit?usp=sharing,Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i001sn:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,swetharepakula,,,,,,,,,,,,,,,"22/Dec/18 8:20 AM;MHBauer;basic details in [https://media.consensys.net/technical-introduction-to-events-and-logs-in-ethereum-a074d65dd61e]

 ;;;","22/Dec/18 9:17 AM;MHBauer;we're going to need to be able to pull state out of the evmcc.;;;","22/Dec/18 11:15 AM;MHBauer;solidity based information https://solidity.readthedocs.io/en/develop/contracts.html?highlight=topic#events;;;","24/Jan/19 5:18 AM;MHBauer;We may need a separate task for Block filters, but most of the infrastructure should be the same.;;;","24/Jan/19 8:49 AM;swetharepakula;this task has been turned into an epic, so you can add multiple tasks by adding issues.;;;","05/Feb/19 4:55 AM;swetharepakula;This has become a duplicate of the user story created to track new json rpc instructions added: https://jira.hyperledger.org/browse/FAB-13999;;;",,,,,,,,,,,,,,,,
Burrow EVM support in Fabric - phase I,FABCE-2,21791,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,High,Done,guoger,ChristopherFerris,ChristopherFerris,12/Oct/17 4:40 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,24/Jul/18 4:55 AM,,9,,,"Develop a means of deploying the (refactored) Burrow EVM as chaincode.

Goals: enable Solidity and/or Viper contracts to be deployed run on Hyperledger Fabric as chaincode. 

Design: TBD - dependent on Burrow EVM refactor.

A draft (and evolving) design doc can be found here: [https://docs.google.com/document/d/1xZfdtFiIFvHI7UZAze2xbm5hhgaDHGRBMusozKfpOck/edit?usp=sharing]

 

Current POC: https://github.com/swetharepakula/fabric/tree/FAB-6590-poc",,cassolato,ChristopherFerris,DannyWong,greg.haskins,guoger,harsha544,jtclark,jufeng.yao,muralisr,SriramaSharma,swetharepakula,TiantianGao,wutongtree,yacovm,,,,,,,,,,,,,FABCE-4,,,,,,,,FABCE-5,,,,,,,Phase I done.,,Unset,,Unset,,,Unknown,,,,Unset,,,,"1|hzyj7z:",,,,Unset,Unset,,,,,,,,,,,,,,cassolato,ChristopherFerris,DannyWong,greg.haskins,guoger,harsha544,jtclark,jufeng.yao,muralisr,SriramaSharma,swetharepakula,TiantianGao,wutongtree,yacovm,,,"12/Oct/17 4:44 AM;ChristopherFerris;Would like to request a repository to begin the exploratory work leading to a design.;;;","19/Oct/17 12:09 AM;yacovm;My opinion that adding a chaincode shim type is a pretty isolated feature and thus low risk.;;;","16/Nov/17 4:55 AM;muralisr;This extension broadens the capabilities, invites new uses and (on the face of it) the chaincode/container pluggability should make it non-invasive to the fabric. However we have to be careful that it does not force changes to core fabric (e.g., changes to gRPC support for chaincode or other changes to fabric) to accommodate this work. Does this sound reasonable ?;;;","16/Nov/17 11:01 PM;ChristopherFerris;[~muralisr] yes, in fact, in the draft design doc we have that as a motivation/goal (to be minimally invasive to Fabric and Burrow). 

The intention would be to have a shim similar to Java and Javascript have.;;;","16/Nov/17 11:05 PM;ChristopherFerris;note that I have had Ry create #fabric-evm in RC to provide a forum to discuss this sub-project.;;;","16/Nov/17 11:18 PM;muralisr;Thanks [~ChristopherFerris]... voted +1.;;;","18/Nov/17 2:29 AM;greg.haskins;I support this.  I think we need to put a more formal design around the chaincode->peer interface first, probably.  But if we do, it will pay dividends in multiple dimensions including the addition of new chaincode platforms such as this one.;;;","21/Nov/17 5:35 AM;ChristopherFerris;This has the requisite votes... I'll work with [~ry] to get a repo created.;;;","21/Nov/17 11:52 PM;ChristopherFerris;maintainers should be same as fabric, same merge policy (2+2)

 ;;;","22/Nov/17 4:11 AM;ryjones;[~ChristopherFerris] what is the exact name of the repo? fabric-evm or fabric-chaincode-evm, to follow the patterns of other chaincodes?;;;","22/Nov/17 7:07 AM;ChristopherFerris;sorry fabric-chaincode-evm;;;","22/Nov/17 8:25 AM;ryjones;repo created, mirror to github established;;;","22/Nov/17 10:37 PM;ChristopherFerris;Actually, given the change to fabric-sdk-node maintainer set to be specific to the repo, I would propose that we make similar proposal. I'll send in a CR with a MAINTAINERS file.;;;","13/Jan/18 4:41 AM;ChristopherFerris;I've lost the link to the public facing demo/playback video... can someone post it in this JIRA please? [~guoger] [~swetharepakula];;;","13/Jan/18 4:47 AM;muralisr;perhaps this one [~ChristopherFerris] https://drive.google.com/file/d/149FI5gEHLXAN7plzOCBUOyPB_s9AqPAj/view

(and if wrong and you have a better one [~guoger] [~swetharepakula] , we can remove this link...);;;","13/Jan/18 4:55 AM;swetharepakula;That link is to the right video. The link I have is : [https://drive.google.com/open?id=149FI5gEHLXAN7plzOCBUOyPB_s9AqPAj];;;","13/Jan/18 5:09 AM;ChristopherFerris;Thanks [~swetharepakula];;;","03/May/18 2:57 AM;Clayton Sims;Jay and Chris - what is the date you expect code complete?   All code CRs submitted (but necessarily approved)

 ;;;","03/May/18 4:56 AM;ChristopherFerris;Well, for the plugin, we hope to finish soon... the phase II stuff (proxy) will come after. Right now, the focus is on the demo for Consensus. jay is on holiday this week, also.;;;","21/May/18 12:28 PM;jimthematrix;[~ChristopherFerris], [~guoger] really nice seeing you guys at Consensus! this is very interesting work. would definitely help when enterprises evaluate the two platforms and they don't have to write their contract logic twice, or migrating ethereum users to Fabric. I added two comments/questions to the design doc, on deriving transaction submitter identity and distinguishing contract creation transactions. Would love to hear your thoughts. also [~swetharepakula];;;","21/May/18 6:35 PM;guoger;[~jimthematrix] hi, it was nice seeing you at Consensus as well! I've replied in #fabric-evm channel on Rocket.chat, welcome to hang out in that channel and we highly appreciate your insights!;;;","22/May/18 10:12 PM;ChristopherFerris;[~guoger] [~swetharepakula] we need to build a test plan for 1.2. I think we should have a bunch of contracts that we test to explore what we can and cannot handle. I was pining some test frameworks that ethereum has... wonder if any are licensed such that we could reuse?;;;"
Support toolings in Ethereum ecosystem,FABCE-3,36262,,Epic,In Progress,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,,,MHBauer,MHBauer,19/Dec/18 6:30 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,,,0,,,"

 ",,benjamincburns,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i003q7:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),benjamincburns,MHBauer,swetharepakula,,,,,,,,,,,,,,"22/Dec/18 9:19 AM;MHBauer;This is going to require some state between requests in fab3. I don't know what the general expectations are for users of a web3 endpoint, but I'm not sure we should persist the filter state across restarts of fab3.;;;","09/Jan/19 4:09 AM;MHBauer;from the meeting 2018-01-03 with truffle developers, there appears to be some other escape hatches.

 

one involves using a 'provider' that will transform calls we don't support into other calls we do support. This would be combined with some work that implements getStorageAt which appears to be a very generic way to get information out of the ledger and have details handled on the client side.

 

My understanding is that ganache is a pluggable/configurable provider, but this needs to be checked.;;;","24/Jan/19 5:16 AM;MHBauer;Do you no longer see the filter requests with Truffle  0.5 ? I suppose maybe truffle changed enough that it is no longer able to get to the point it needs the filters.;;;","25/Jan/19 12:25 PM;swetharepakula;We may still have a problem with filters after we pass the getLogs stage. But getLogs was the first hurdle.;;;","31/Jan/19 1:03 PM;MHBauer;During some experinmentation today, getLogs passed in the From argument only.;;;","13/Feb/19 11:58 AM;benjamincburns;I'm a bit late to the party, but I notice you're discussing stateful requests (e.g. \{{eth_newFilter}} and friends). I'm pleased to say that the Ethereum community seems to be quickly moving away from these stateful methods. Last I checked, Infura doesn't support them, and section 6.3 the [current EEA specification|https://entethalliance.org/wp-content/uploads/2018/11/EEA_Enterprise_Ethereum_Client_Specification_V2.pdf] drops the requirement for Enterprise Ethereum clients to support any stateful RPC methods.

I generally advise people writing Ethereum applications today to use a WebSockets transport rather than HTTP, and to make use of the newer [RPC PUB/SUB API|https://github.com/ethereum/go-ethereum/wiki/RPC-PUB-SUB]. This not only allows for a more efficient push-based subscription mechanism for logs, blocks, and transactions, but it also makes it so that the lifecycle of those subscriptions is tied directly to the lifecycle of the application client's connection. That is, when the connection closes the node no longer needs to service the outstanding subscriptions for that connection.

[Ganache|https://truffleframework.com/ganache] and [ganache-cli|https://www.npmjs.com/package/ganache-cli] have implemented these features for a while now, and I'd recommend them as a platform for experimentation to see how it works.;;;","13/Feb/19 12:31 PM;MHBauer;Good doc, thanks [~benjamincburns].

Section 6.3 seems like what we're implementing. Client interface.

ooh, page 21 has a list of RPC commands.

 

 

 ;;;","13/Feb/19 1:12 PM;benjamincburns;I was the author of that section, if you have any questions. :)

(and thanks!);;;","13/Feb/19 1:23 PM;swetharepakula;Thanks [~benjamincburns]! 



That's great to know that the spec has dropped that requirement. I have not kept up with those changes.

We do want to at least provide a RPC option instead of using HTTP. That work fell lower in our priorities, but we should start looking into it again.;;;",,,,,,,,,,,,,
Burrow EVM support in Fabric - phase II,FABCE-4,27443,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,High,Done,,guoger,guoger,06/Feb/18 5:28 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,04/Jan/19 5:29 AM,,0,,,"Phase II is focused on building on the chaincode that was created through FAB-6590.

Some main things that we are concerned with are adding events, having better integration tests.

The parts relating to the Fab Proxy will be taken care of in the epic FAB-10273",,guoger,TiantianGao,,,,,,,,,,,,,,,,,,,,,FABCE-2,,,,,,,,,,,,,FABCE-5,,,,,,Events are pushed to 1.4,,Unset,,Unset,,,Unknown,,,,Unset,,,,"1|hzyw27:",,,,Unset,Unset,,,,,,,,SVT Prime (if needed): Ratnakar Asara,,,,,,guoger,TiantianGao,,,,,,,,,,,,,,,"08/Feb/18 3:35 AM;Clayton Sims;This is showing up in v1.1 defect backlog.  I believe this is future feature.   Please let me know if I misunderstood;;;","08/Feb/18 4:39 PM;guoger;[~Clayton Sims] you are absolutely correct, sorry for the mistake.;;;",,,,,,,,,,,,,,,,,,,,
Burrow EVM support in Fabric - fab-web3 proxy,FABCE-5,30474,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,High,Done,ChristopherFerris,ChristopherFerris,ChristopherFerris,22/May/18 10:08 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,04/Dec/18 6:01 AM,,0,evm,,We need a proxy service that can enable an Ethereum developer to use familiar web3 based tooling to interact with Ethereum smart contracts running in Fabric,,ChristopherFerris,TiantianGao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABCE-4,FABCE-2,,,,,,Completed,https://docs.google.com/document/d/1xZfdtFiIFvHI7UZAze2xbm5hhgaDHGRBMusozKfpOck/edit#heading=h.xf6b8qykmhxw,Unset,,Unset,,,Unknown,,,,Unset,,,,"1|hzzbjr:",,,,Unset,Unset,,,,,,,,SVT Prime (if needed): Ratnakar Asara,,,,,,ChristopherFerris,TiantianGao,,,,,,,,,,,,,,,"22/May/18 10:10 PM;ChristopherFerris;We need to build a plan with stories/tasks;;;","06/Jul/18 8:57 PM;ChristopherFerris;[~swetharepakula] can you please populate the subtasks and link to the epic? Thanks;;;",,,,,,,,,,,,,,,,,,,,
"As a fabric evm chaincode user, I want to interact with my contract via Ethereum JSON RPC",FABCE-6,37318,,Epic,In Progress,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,,MHBauer,guoger,guoger,31/Jan/19 1:03 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,,,0,,,,,guoger,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i009xj:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),guoger,MHBauer,swetharepakula,,,,,,,,,,,,,,"05/Feb/19 4:56 AM;swetharepakula;Design Doc for filtering and logging: https://docs.google.com/document/d/1iiaPbT5Aeh8gqOHLBV1kprB-eN5E7Z4kD8CPeuqhB4Y/edit?usp=sharing;;;",,,,,,,,,,,,,,,,,,,,,
add docker image to build,FABCE-7,30657,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,ChristopherFerris,ChristopherFerris,ChristopherFerris,26/May/18 4:36 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,02/Jun/18 12:13 PM,,0,,,"To simplify use, create a docker image with the plugin installed and configured",,ChristopherFerris,guoger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,Unset,Unset,,,Unknown,,,,Unset,,,,"1|hzzcsn:",,,,Unset,Unset,,,Unset,,,,,,,,,,,ChristopherFerris,guoger,,,,,,,,,,,,,,,"02/Jun/18 12:13 PM;guoger;https://gerrit.hyperledger.org/r/#/c/22371/;;;",,,,,,,,,,,,,,,,,,,,,
[Fabric-Java-SDK] Query hex option Problem,FABCE-8,38370,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,High,Done,freesam02,freesam02,freesam02,12/Mar/19 10:16 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,12/Mar/19 3:32 PM,,0,,,"Hi 

i'm trying to deploy EVM Contract on Hyperledger Fabric using by hyperledger-fabric-evm source.

 

I connected fabric-java-sdk with fabric-network already ERC-20 solidity contract deployed.

 

when i trying to get a balance of user using by peer chaincode query command

i got a this result

 

-----------------------------------------------------------------------------------------------------

 ./peer chaincode query -n evm -C evmchannel -c '\{""Args"":[""6f9f7ed3acd17ebbde5202da8934a3ee578f6db8"",""70a08231000000000000000000000000ED4AD234EA1F80F61FCE85BB0997BD56E8019C36""]}' --hex
00000000000000000000000000000000000000000000021e19e0c9bab2400000

-----------------------------------------------------------------------------------------------------

 

same command by Java sdk, there are no options about hex

so received response change to hex, i think response is not correct 

My response is 

-----------------------------------------------------------------------------------------------------

""invResult"":""\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0000\\u0002\\u001E\\u0019\xef\xbf\xbd\xc9\xba\xef\xbf\xbd@\\u0000\\u0000""

-----------------------------------------------------------------------------------------------------

 

could you help me to solve this problem?

My question is 
 # what is encode type on using hyperledger fabric?
 # How can i using Hex option on fabric-java-sdk

 

Thanks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,No,Unset,,,Unknown,,No,,Unset,No,,,"1|i00fkn:",,,,Unset,Unset,(Please add steps to reproduce),,No,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,"12/Mar/19 3:31 PM;freesam02;i solved this problem 

In fabric-java-sdk

response.getProposalResponse().getResponse().getPayload().toString() is default option

H(response.getProposalResponse().getResponse().getPayload())to hex option

H is bytestringtoHex function  

it is same result between bytearray and bytestring 

 

and go language's default encoding is ""utf-8"" 

 

 

How can i closed this issue?;;;",,,,,,,,,,,,,,,,,,,,,
Proposal to Change Required Number of Reviews to Single Non Author Review,FABCE-9,42411,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,,swetharepakula,swetharepakula,19/Sep/19 9:58 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,25/Sep/19 2:35 AM,,0,,,"Proposal:

In the fabric-chaincode-evm change the number of required reviews for a change request from two maintainers to a single non-author maintainer.

 

Please indicate approval or disapproval as a comment. We require a majority of the maintainers to respond with approval to make the change.

 

[~MHBauer], [~guoger], [~ChristopherFerris], [~mastersingh24], [~muralisr], [~swetharepakula]

Debate Deadline: Monday, September 23rd at 5 PM PST",,ChristopherFerris,guoger,MHBauer,muralisr,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i010eb:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ChristopherFerris,guoger,MHBauer,muralisr,swetharepakula,,,,,,,,,,,,"19/Sep/19 10:01 AM;swetharepakula;I approve;;;","19/Sep/19 10:14 AM;MHBauer;Approve.;;;","19/Sep/19 10:33 AM;guoger;Approve;;;","19/Sep/19 10:19 PM;ChristopherFerris;I approve;;;","19/Sep/19 10:53 PM;muralisr;I approve.;;;","25/Sep/19 2:36 AM;swetharepakula;`fabric-chaincode-evm` has migrated to github with the new reviewer policy.;;;",,,,,,,,,,,,,,,,
"as a rando developer, I should need admin privs to deploy contract",FABCE-10,30630,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,High,Invalid,,ChristopherFerris,ChristopherFerris,25/May/18 7:50 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,18/Aug/18 6:01 AM,,0,,,"as a rando developer, I should need admin privs to deploy contract

We should require an admin cert for deploying a new EVM smart contract in keeping with permissoned nature of the platform.

MVP for this would just restrict... we can explore opening the aperture, or making this configurable at some later date if there is interest/demand.",,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,Unset,Unset,,,Unknown,,,,Unset,,,,"1|hzzchr:",,,,Unset,Unset,,,Unset,,,,,,,,,,,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
