Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels_2,Labels_3,Description,Environment,Watchers,Watchers_2,Watchers_3,Log Work,Log Work_2,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks)_2,Inward issue link (Blocks)_3,Outward issue link (Blocks),Outward issue link (Blocks)_2,Outward issue link (Blocks)_3,Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split)_2,Outward issue link (Issue split)_3,Outward issue link (Issue split)_4,Outward issue link (Issue split)_5,Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment_2,Attachment_3,Attachment_4,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint_2,Sprint_3,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team)_2,Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers)_2,Custom field (Watchers)_3,Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch)_2,Custom field (gitBranch)_3,Custom field (gitBranch)_4,Custom field (gitBranch)_5,Custom field (gitBranch)_6,Custom field (gitBranch)_7,Custom field (gitBranch)_8,Custom field (gitBranch)_9,Custom field (gitBranch)_10,Custom field (gitBranch)_11,Custom field (gitBranch)_12,Custom field (gitBranch)_13,Custom field (gitBranch)_14,Custom field (gitBranch)_15,Custom field (gitBranch)_16,Custom field (gitCommitsReferenced),Comment,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7
Memory leak in irohad,IR-1,28638,,Bug,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,gdshaw,gdshaw,3/19/18 06:09,8/26/19 14:47,1/18/23 07:01,7/25/18 22:59,,1.0 rc5,,0,Security,,,"Nettitude has found a memory leak in the Iroha daemon which can be triggered remotely. During a test run during which the supplied example script “tx-example.py” was executed 5000 times, a total of 1920288 bytes in 20003 blocks was leaked. This corresponds to an average of 384 bytes lost per iteration.

Taken to extremes, this behaviour could be used to mount a denial of service attack (although the number of transactions required would be large).

An attempt was made to demonstrate this using the ulimit command to constrain the amount of memory available to the irohad daemon. This was nominally successful, resulting in a segmentation fault, although fragmentation of the heap will also have contributed to that outcome.

The cause in all of the cases observed appears to be failure to delete the object returned by the function shared_model::interface::Transaction::makeOldModel(). Currently this is returned using a built-in pointer. In some instances this is then converted to a shared_ptr by the caller, but not all callers do this (and in any event, this course of action is less safe than using make_shared).

The safest solution would be for makeOldModel to be altered to return a shared_ptr, with appropriate changes at points where it is called.",,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzz1x3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29/Apr/18 12:53 AM;neewy;Per the state of development branch (28/04/2018, 3404b17969f5899698f5683831d636865cab1b55)

This issue is not relevant since makeOldModel remains only in txGenerator, which is not used in irohad. A single test that has it is a client_test. This memory leak does not hold now;;;","25/May/18 5:20 AM;dhuseby;[~neewy] if this has been fixed, then please close it out.;;;","25/Jul/18 11:00 PM;neewy;This issue is not relevant now, since in out codebase there is no makeOldModel() method anymore ;;;",,,,
Multi-signatory transactions can potentially be authorised by single user,IR-2,28829,,Bug,Complete,IR,Iroha,software,ekovalev,,,High,Done,Kitsu,gdshaw,gdshaw,3/26/18 05:44,8/26/19 14:47,1/18/23 07:01,4/27/18 01:58,,1.0 rc5,,0,Security,,,"In the function StatefulValidatorImpl::validate, a comparison is made between the number of signatures attached to a transaction and the quorum for the account:

tx.signatures().size() >= account->quorum()

This makes the implicit assumption that the number of distinct signatures is necessarily equal to the number of distinct users who have signed the transaction.

The signatures are stored in a container with set-like semantics (a SignatureSetType), therefore merely repeating the exact same signature will not trigger this vulnerability. However, if a single user were able to create multiple distinct, valid signatures for the same plaintext using the same public key, it would be possible for a single user to authorise a transaction which ought to require the signatures of multiple users.

It is clearly possible to conceive of digital signature algorithms which would allow this to happen, and ones which would not. Since the algorithm has been abstracted by means of a provider API, this means at the very least that there is potential for it to happen. Furthermore, the signature algorithm which is currently implemented (ed25519) appears to allow for the possibility in this instance.

In the function ed25519_verify (part of the iroha-ed25519 repository), the signature is passed in as a const_signature_t*. This is merely a wrapper for a fixed length array (unsigned char[ed25519_signature_SIZE]), and does not contain an explicit length field. It follows that any excess data beyond the expected length would be ignored.

Each signature is stored in an object of type SignatureType. Since the higher levels of iroha are not coupled to a particular signing algorithm, they do not appear to constrain what can be passed to that signing algorithm.

(There may, incidentally, be secondary issue if the signature is too short, however this is unlikely to be exploitable.)

This finding has not been validated by Nettitude, in part because there appears to be an error in the SignaturesSubet function: instead of checking that all of the signers of the transaction are signatories to the account, it appears to be checking that all signatories to the account are signers of the transaction. Consequently, it appears that all signatories must sign, even if the quorum requires a lesser number. Further investigation can likely be performed more efficiently by those familiar with the code in question.

To address this issue, Nettitude recommends checking that the public keys of the supplied signatures are distinct: it is not sufficient that the signatures themselves be distinct.",,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzz2xj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28/Mar/18 7:41 PM;gdshaw;Looks like there is probably a similar issue with the chain validator - details to follow if it checks out.;;;,"30/Mar/18 2:36 AM;gdshaw;Proof of concept using appended random data failed to work due to conversion to a sig_t, which does constrain the length, however an alternative approach has been identified which does not alter the length: replacing the deterministic nonce generator in ed25519 with a non-deterministic one. Preliminary tests using a reference implementation were promising, now investigating whether and how this can be replicated in the context of iroha.;;;","13/Apr/18 2:01 AM;dhuseby;Potential fix coming:

[https://github.com/hyperledger/iroha/pull/1193|http://example.com];;;",29/Apr/18 12:57 AM;neewy;This fix does not relate to transactions (since there is no test). I will report on the state of test as soon as it is in the codebase;;;,17/May/18 9:01 PM;neewy;Resolved in [https://github.com/hyperledger/iroha/pull/1302];;;,,
"Vote early, Vote often",IR-3,29356,,Bug,Complete,IR,Iroha,software,ekovalev,,,High,Done,Kitsu,dhuseby,dhuseby,4/13/18 00:55,8/26/19 14:48,1/18/23 07:01,4/27/18 01:59,,1.0 rc5,,0,Security,,,"I believe I have found a method by which a rogue Iroha peer would be able to sign a block any required number of times, using its own keypair, in a manner that would pass chain validation.

The attack method is not yet fully proven, however I’ve been able to demonstrate multiple signing of a proposal, and the code for validating blocks is sufficiently similar that I can find no reason why the same method would not be applicable. In any event. I’d still like to create a working proof of concept if that is possible, but I’m badly out of time so far as the Nettitude assessment of Iroha is concerned, and I don’t think I’ll be able to do that without assistance from those more familiar with the code.

I’m nervous about saying this, in case there turns out to be a flaw in the method, but I suspect the impact of this finding would be “critical” if it fully checks out.

I’ve not entered this into Jira yet, since the submission form I have access to appears to lack the field needed to mark it as a security issue.

In outline, the method is as follows.

The root cause is that when signatures are assembled into a set, they are considered distinct if either (a) the public keys are different or (b) the cryptographic signature blobs are different. Furthermore, in order to determine how many signatures have been applied, the method used is to simply count the number of signatures in the set. The unspoken assumption is that if the same keypair is used to sign the same data more than once, then the signature  blobs will be identical and will not therefore be counted separately once they have been added to the set.

This is all well and good for a standard implementation of ed25519, because (unlike most digital signature algorithms) it uses a ‘deterministic  nonce’ – specifically, instead of generating a block of random data, it instead uses a deterministic hash based on the input parameters. So, if you repeatedly sign the same data with the same keypair, using standard ed25519, you will get the same signature blob every time.

However, whilst the specification says that you are supposed to use this deterministic method, the data in question is just functioning as a nonce – and the algorithm will continue working quite happily if you choose something different, like a random number. So, what I did was modify a copy of the iroha-ed25519 library to do this, build and install it, and then build Iorha against that library. The result is that if you then have Iroha sign something twice, the two signature blobs are different.

Now, you might ask why I’m considering it an attack if the attacker needs to tamper with the crypto implementation. The reason is that he need only do this on the node that he wants to turn malicious. The other nodes in the network can carry on running with unmodified crypto, and they will be able to correctly verify signatures regardless of whether it was the tampered or untampered implementation used to generate them. (In other words, it is only the signing function which needs to be modified – not the verification function.)

To confirm this, Nettitude arranged for a new proposal to be signed three times by the same account, then submitted to the Iroha daemon. The proposal passed validation, with signatures.size() equal to 3 inside the function StatefulValidatorImpl::signaturesSubset. This goes most of the way to showing that the security of multi-signatory accounts can be violated (corresponding to issue IR-2, which has been put into Jira). However, it appears likely that the same can be done for blocks – with much more serious consequences.

The mitigation is to check, by one means or another, that the public keys in a given set of signatures are distinct – not merely that the combination of signatures and public keys are distinct.

I need to finish the writeup for the security assessment now, but if someone familiar with the code were able to take an initial view on the viability and severity of this attack method in the next couple of days then that would be most helpful. Also, if it were possible to talk me through the data flow for signing a block – with a view to adding some additional, illicit signatures – then I can have another go at a proof of concept.

(Finally, if this does check out, Nettitude would be most grateful if a CVE number could be allocated – I understand you have a process for arranging this.)",,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzz5ov:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/Apr/18 2:01 AM;dhuseby;Potential fix coming: [https://github.com/hyperledger/iroha/pull/1193|http://example.com];;;,"28/Apr/18 11:16 PM;dhuseby;It appears that the fix was merged on April 25, 2018: https://github.com/hyperledger/iroha/commit/1c639d722ea3712a2292401d10a047360bc5206a;;;","29/Apr/18 12:54 AM;neewy;Yes, it was merged and now this issue does not hold;;;",,,,
IP addresses can be made permanently unusable using the add peer command,IR-4,29357,,Bug,Complete,IR,Iroha,software,ekovalev,,,Low,Done,,dhuseby,dhuseby,4/13/18 00:57,8/26/19 14:47,1/18/23 07:01,5/25/18 05:21,,1.0 rc5,,0,Security,,,IP addresses can be made permanently unusable using the add peer command.  The solution is to provide a method for IP addresses to be reused.,,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|hzz5p3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28/Apr/18 11:22 PM;dhuseby;The documentation for the add peer command indicates that a given IP address can only be added once to a given Iroha network (since it is a validation constraint that the address has not already been added).

A public key is specified at the time when the IP address is added. No evidence is required that the owner of the IP address is in possession of the corresponding private key.
There is not, so far as Nettitude has been able to determine, any mechanism for removing or modifying a peer once it has been added. Therefore, an attacker with the ability to add peers would also have the ability to permanently exclude any number of IP addresses from the network, by associating them with public keys not known to the IP address owners.

Adding peers requires the CanAddPeer permission, which would presumably be issued sparingly. Nevertheless, even though this attack may be difficult to carry out, the irreversibility of the effect makes it a significant cause for concern.

Further issues arising from this limitation are that:
 * A peer with reason to fear that its keypair has been compromised is discouraged from switching to a new one, due to the need to switch to a new IP address too.
 * A keypair known to have been compromised cannot be locked out.;;;","29/Apr/18 12:58 AM;neewy;This is considered to be a design peculiarity, not a bug;;;",18/May/18 10:38 AM;dhuseby;[~neewy] so should this be closed as not a bug?;;;,"25/May/18 5:21 AM;dhuseby;[~neewy] if this isn't a real bug, I'm going to close this.;;;",,,
Test task,IR-5,35472,,Task,Closed,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/20/18 02:25,6/23/20 14:34,1/18/23 07:00,,,,,0,,,,Check ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,20/Nov/18 6:45 PM;luckychess;Test comment;;;,,,,,,
Update documentation for deployment of Hyperledger Iroha peer network,IR-6,35523,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/22/18 00:05,9/3/19 02:20,1/18/23 07:00,,,,11/29/18 00:00,0,Documentation,,,"Right now there are few docs that explain how Iroha network is deployed and how resources should be provisioned:

Kubernetes [https://iroha.readthedocs.io/en/latest/guides/k8s-deployment.html]

[Ansible (contents are missing) https://iroha.readthedocs.io/en/latest/maintenance/ansible.html|https://iroha.readthedocs.io/en/latest/maintenance/ansible.html] [https://github.com/hyperledger/iroha/tree/master/deploy/ansible]

Overall deployment doc [https://iroha.readthedocs.io/en/latest/guides/deployment.html]

There is also a contribution from Warchant available here: [https://github.com/Warchant/testcontainers-iroha]

We should come up with a meaningful set of documentation related to deployment. Since we have several means of deployment already, my suggestion is to move on with following docs:
 * how to deploy Iroha network manually, without any scripts whatsoever
 * how to use Ansible scripts for Iroha network deployment
 * how to use test containers library for Iroha network testing and deployment
 * how to deploy Iroha network in Kubernetes cluster

Such docs should include troubleshooting information on how to stop running network for updates, how to resume stopped peer, how to synchronize with the running network, how to create config file for Iroha and change the settings, etc

This is essentially a review of our deployment scripts so it might involve some discussions as well as bug revealing, that have to be put in this JIRA",,SaraG,,,,,72000,72000,,0%,72000,72000,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-69,,,No,,,Unset,No,,,1|i00ef2:zz,,,,Unset,Unset,Sprint III,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),SaraG,,,,,,,,,,,,,,,,,,,,,03/Sep/19 2:20 AM;SaraG;Can be split into several tasks. ;;;,,,,,,
Create documentation that describes how to use multi signature transactions mechanism in Iroha,IR-7,35524,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/22/18 00:28,9/3/19 02:14,1/18/23 07:00,,,,,0,,,,"At the moment Iroha has a powerful mechanism called MST that is used widely by many projects. 

It deserves a separate section that explains business and technical benefits and API that has to be used for MST.",,SaraG,,,,,64800,64800,,0%,64800,64800,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-69,,,No,,,Unset,No,,,1|hzzzi7:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),SaraG,,,,,,,,,,,,,,,,,,,,,03/Sep/19 2:14 AM;SaraG;Stays in backlog due to planned changes to MST execution process ;;;,,,,,,
Update section with use cases: expand the section with projects that use Iroha and add more use cases,IR-8,35525,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,neewy,11/22/18 00:31,9/3/19 01:58,1/18/23 07:00,,,,,0,,,,"Right now we have a limited set of use cases available in our documentation. We need expand this with our latest API changes and projects, that are running with Iroha under the hood.

Certificates in Education, Healthcare 
Cross-Border Asset Transfers 
Financial Applications
Identity Management
Supply Chain
Fund Management

[https://iroha.readthedocs.io/en/latest/use_cases/index.html]

 ",,SaraG,,,,,36000,36000,,0%,36000,36000,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-69,,,No,,,Unset,No,,,1|hzzzhz:009,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),SaraG,,,,,,,,,,,,,,,,,,,,,01/Sep/19 3:10 AM;SaraG;https://soramitsu.co.jp/iroha#rec103186413 - should we add more than that? ;;;,,,,,,
Review existing documentation for commands and queries and add more information if anything is missing,IR-9,35526,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,SaraG,lebdron,neewy,11/22/18 00:32,8/26/19 18:23,1/18/23 07:00,1/10/19 00:32,,1.0 rc5,,0,,,,https://iroha.readthedocs.io/en/latest/api/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzzzhz:0hhzr,,,,Unset,Unset,Iroha Sprint 2,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,29/Nov/18 2:45 PM;Kamil_Salakhiev;Please update transaction queries and responses when pagination logic is introduced;;;,11/Dec/18 11:24 PM;SaraG;Commands checked. PR is here: https://github.com/hyperledger/iroha/pull/1938;;;,19/Dec/18 7:27 PM;SaraG;Queries checked: https://github.com/hyperledger/iroha/pull/1971;;;,,,,
Add documentation about query response pagination ,IR-10,35527,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Kamil_Salakhiev,lebdron,neewy,11/22/18 00:40,8/26/19 18:23,1/18/23 07:00,12/7/18 16:17,,1.0 rc5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-29,,,No,,,Unset,No,,,1|hzzzi6:r,,,,Unset,Unset,Iroha Sprint 1,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
